Doculect1	Doculect2	weight	color
ABSMissong1	AGAMissong2	.01	transparent
ABSMissong1	AOMNgun2	.01	transparent
ABSMissong1	APBMumfu1	.01	transparent
ABSMissong1	BAAMashi4	.01	transparent
ABSMissong1	BKBMashi2	.01	transparent
ABSMissong1	BNMKung2	.01	transparent
ABSMissong1	CENMundabli2	.01	transparent
ABSMissong1	DNMMumfu2	.01	transparent
ABSMissong1	DPJKoshin1	.01	transparent
ABSMissong1	DPNFang13	.01	transparent
ABSMissong1	ECLAbar8	.01	transparent
ABSMissong1	ENBBiya1	.01	transparent
ABSMissong1	FBCBiya8	.01	transparent
ABSMissong1	ICNBiya2	.01	transparent
ABSMissong1	JGYKoshin3	.01	transparent
ABSMissong1	KBMNgun4	.01	transparent
ABSMissong1	KCSKung3	.01	transparent
ABSMissong1	KCYBuu2	.01	transparent
ABSMissong1	KDCAjumbu10	.01	transparent
ABSMissong1	KDVFang1	.01	transparent
ABSMissong1	KEMBuu1	.01	transparent
ABSMissong1	KFKMashi1	.01	transparent
ABSMissong1	KHKFang12	.01	transparent
ABSMissong1	KJSFang2	.01	transparent
ABSMissong1	KMNAjumbu2	.01	transparent
ABSMissong1	LFNMundabli1	.01	transparent
ABSMissong1	MCANgun3	.01	transparent
ABSMissong1	MEAMumfu3	.01	transparent
ABSMissong1	MNJBuu4	.01	transparent
ABSMissong1	MRYKoshin2	.01	transparent
ABSMissong1	NACAbar2	.01	transparent
ABSMissong1	NCCMumfu4	.01	transparent
ABSMissong1	NCMMashi5	.01	transparent
ABSMissong1	NDNMissong5	.01	transparent
ABSMissong1	NEAMunken1	.01	transparent
ABSMissong1	NEMAjumbu9	.01	transparent
ABSMissong1	NFKBiya7	.01	transparent
ABSMissong1	NGTMunken3	.01	transparent
ABSMissong1	NINMundabli4	.01	transparent
ABSMissong1	NJNBiya6	.01	transparent
ABSMissong1	NJSKung4	.01	transparent
ABSMissong1	NMAAbar1	.01	transparent
ABSMissong1	NMNMundabli3	.01	transparent
ABSMissong1	NMSMissong4	.01	transparent
ABSMissong1	NNBBuu3	.01	transparent
ABSMissong1	NSFBiya5	.01	transparent
ABSMissong1	NUNMunken4	.01	transparent
ABSMissong1	NVBAbar7	.01	transparent
ABSMissong1	NVIAjumbu1	.01	transparent
ABSMissong1	TELKoshin4	.01	transparent
ABSMissong1	TNTMunken2	.01	transparent
ABSMissong1	WCANgun1	.01	transparent
ABSMissong1	ZKGKung1	.01	transparent
AGAMissong2	AOMNgun2	.01	transparent
AGAMissong2	APBMumfu1	.01	transparent
AGAMissong2	BAAMashi4	.01	transparent
AGAMissong2	BKBMashi2	.01	transparent
AGAMissong2	BNMKung2	.01	transparent
AGAMissong2	CENMundabli2	.01	transparent
AGAMissong2	DNMMumfu2	.01	transparent
AGAMissong2	DPJKoshin1	.01	transparent
AGAMissong2	DPNFang13	.01	transparent
AGAMissong2	ECLAbar8	.01	transparent
AGAMissong2	ENBBiya1	.01	transparent
AGAMissong2	FBCBiya8	.01	transparent
AGAMissong2	ICNBiya2	.01	transparent
AGAMissong2	JGYKoshin3	.01	transparent
AGAMissong2	KBMNgun4	.01	transparent
AGAMissong2	KCSKung3	.01	transparent
AGAMissong2	KCYBuu2	.01	transparent
AGAMissong2	KDCAjumbu10	.01	transparent
AGAMissong2	KDVFang1	.01	transparent
AGAMissong2	KEMBuu1	.01	transparent
AGAMissong2	KFKMashi1	.01	transparent
AGAMissong2	KHKFang12	.01	transparent
AGAMissong2	KJSFang2	.01	transparent
AGAMissong2	KMNAjumbu2	.01	transparent
AGAMissong2	LFNMundabli1	.01	transparent
AGAMissong2	MCANgun3	.01	transparent
AGAMissong2	MEAMumfu3	.01	transparent
AGAMissong2	MNJBuu4	.01	transparent
AGAMissong2	MRYKoshin2	.01	transparent
AGAMissong2	NACAbar2	.01	transparent
AGAMissong2	NCCMumfu4	.01	transparent
AGAMissong2	NCMMashi5	.01	transparent
AGAMissong2	NDNMissong5	.01	transparent
AGAMissong2	NEAMunken1	.01	transparent
AGAMissong2	NEMAjumbu9	.01	transparent
AGAMissong2	NFKBiya7	.01	transparent
AGAMissong2	NGTMunken3	.01	transparent
AGAMissong2	NINMundabli4	.01	transparent
AGAMissong2	NJNBiya6	.01	transparent
AGAMissong2	NJSKung4	.01	transparent
AGAMissong2	NMAAbar1	.01	transparent
AGAMissong2	NMNMundabli3	.01	transparent
AGAMissong2	NMSMissong4	.01	transparent
AGAMissong2	NNBBuu3	.01	transparent
AGAMissong2	NSFBiya5	.01	transparent
AGAMissong2	NUNMunken4	.01	transparent
AGAMissong2	NVBAbar7	.01	transparent
AGAMissong2	NVIAjumbu1	.01	transparent
AGAMissong2	TELKoshin4	.01	transparent
AGAMissong2	TNTMunken2	.01	transparent
AGAMissong2	WCANgun1	.01	transparent
AGAMissong2	ZKGKung1	.01	transparent
AOMNgun2	APBMumfu1	.01	transparent
AOMNgun2	BAAMashi4	.01	transparent
AOMNgun2	BKBMashi2	.01	transparent
AOMNgun2	BNMKung2	.01	transparent
AOMNgun2	CENMundabli2	.01	transparent
AOMNgun2	DNMMumfu2	.01	transparent
AOMNgun2	DPJKoshin1	.01	transparent
AOMNgun2	DPNFang13	.01	transparent
AOMNgun2	ECLAbar8	.01	transparent
AOMNgun2	ENBBiya1	.01	transparent
AOMNgun2	FBCBiya8	.01	transparent
AOMNgun2	ICNBiya2	.01	transparent
AOMNgun2	JGYKoshin3	.01	transparent
AOMNgun2	KBMNgun4	.01	transparent
AOMNgun2	KCSKung3	.01	transparent
AOMNgun2	KCYBuu2	.01	transparent
AOMNgun2	KDCAjumbu10	.01	transparent
AOMNgun2	KDVFang1	.01	transparent
AOMNgun2	KEMBuu1	.01	transparent
AOMNgun2	KFKMashi1	.01	transparent
AOMNgun2	KHKFang12	.01	transparent
AOMNgun2	KJSFang2	.01	transparent
AOMNgun2	KMNAjumbu2	.01	transparent
AOMNgun2	LFNMundabli1	.01	transparent
AOMNgun2	MCANgun3	.01	transparent
AOMNgun2	MEAMumfu3	.01	transparent
AOMNgun2	MNJBuu4	.01	transparent
AOMNgun2	MRYKoshin2	.01	transparent
AOMNgun2	NACAbar2	.01	transparent
AOMNgun2	NCCMumfu4	.01	transparent
AOMNgun2	NCMMashi5	.01	transparent
AOMNgun2	NDNMissong5	.01	transparent
AOMNgun2	NEAMunken1	.01	transparent
AOMNgun2	NEMAjumbu9	.01	transparent
AOMNgun2	NFKBiya7	.01	transparent
AOMNgun2	NGTMunken3	.01	transparent
AOMNgun2	NINMundabli4	.01	transparent
AOMNgun2	NJNBiya6	.01	transparent
AOMNgun2	NJSKung4	.01	transparent
AOMNgun2	NMAAbar1	.01	transparent
AOMNgun2	NMNMundabli3	.01	transparent
AOMNgun2	NMSMissong4	.01	transparent
AOMNgun2	NNBBuu3	.01	transparent
AOMNgun2	NSFBiya5	.01	transparent
AOMNgun2	NUNMunken4	.01	transparent
AOMNgun2	NVBAbar7	.01	transparent
AOMNgun2	NVIAjumbu1	.01	transparent
AOMNgun2	TELKoshin4	.01	transparent
AOMNgun2	TNTMunken2	.01	transparent
AOMNgun2	WCANgun1	.01	transparent
AOMNgun2	ZKGKung1	.01	transparent
APBMumfu1	BAAMashi4	.01	transparent
APBMumfu1	BKBMashi2	.01	transparent
APBMumfu1	BNMKung2	12	purple
APBMumfu1	CENMundabli2	33.0	grey75
APBMumfu1	DNMMumfu2	33.0	grey75
APBMumfu1	DPJKoshin1	.01	transparent
APBMumfu1	DPNFang13	.01	transparent
APBMumfu1	ECLAbar8	.01	transparent
APBMumfu1	ENBBiya1	.01	transparent
APBMumfu1	FBCBiya8	.01	transparent
APBMumfu1	ICNBiya2	.01	transparent
APBMumfu1	JGYKoshin3	.01	transparent
APBMumfu1	KBMNgun4	.01	transparent
APBMumfu1	KCSKung3	16	purple
APBMumfu1	KCYBuu2	43	red
APBMumfu1	KDCAjumbu10	.01	transparent
APBMumfu1	KDVFang1	.01	transparent
APBMumfu1	KEMBuu1	44	red
APBMumfu1	KFKMashi1	.01	transparent
APBMumfu1	KHKFang12	.01	transparent
APBMumfu1	KJSFang2	.01	transparent
APBMumfu1	KMNAjumbu2	.01	transparent
APBMumfu1	LFNMundabli1	34.0	grey75
APBMumfu1	MCANgun3	.01	transparent
APBMumfu1	MEAMumfu3	34.666666666666664	grey75
APBMumfu1	MNJBuu4	47	red
APBMumfu1	MRYKoshin2	.01	transparent
APBMumfu1	NACAbar2	.01	transparent
APBMumfu1	NCCMumfu4	36.0	grey75
APBMumfu1	NCMMashi5	.01	transparent
APBMumfu1	NDNMissong5	.01	transparent
APBMumfu1	NEAMunken1	.01	transparent
APBMumfu1	NEMAjumbu9	.01	transparent
APBMumfu1	NFKBiya7	.01	transparent
APBMumfu1	NGTMunken3	.01	transparent
APBMumfu1	NINMundabli4	32.666666666666664	grey75
APBMumfu1	NJNBiya6	.01	transparent
APBMumfu1	NJSKung4	16	purple
APBMumfu1	NMAAbar1	.01	transparent
APBMumfu1	NMNMundabli3	33.333333333333336	grey75
APBMumfu1	NMSMissong4	.01	transparent
APBMumfu1	NNBBuu3	46	red
APBMumfu1	NSFBiya5	.01	transparent
APBMumfu1	NUNMunken4	.01	transparent
APBMumfu1	NVBAbar7	.01	transparent
APBMumfu1	NVIAjumbu1	.01	transparent
APBMumfu1	TELKoshin4	.01	transparent
APBMumfu1	TNTMunken2	.01	transparent
APBMumfu1	WCANgun1	.01	transparent
APBMumfu1	ZKGKung1	13	purple
BAAMashi4	BKBMashi2	.01	transparent
BAAMashi4	BNMKung2	.01	transparent
BAAMashi4	CENMundabli2	.01	transparent
BAAMashi4	DNMMumfu2	.01	transparent
BAAMashi4	DPJKoshin1	.01	transparent
BAAMashi4	DPNFang13	.01	transparent
BAAMashi4	ECLAbar8	.01	transparent
BAAMashi4	ENBBiya1	.01	transparent
BAAMashi4	FBCBiya8	.01	transparent
BAAMashi4	ICNBiya2	.01	transparent
BAAMashi4	JGYKoshin3	.01	transparent
BAAMashi4	KBMNgun4	.01	transparent
BAAMashi4	KCSKung3	.01	transparent
BAAMashi4	KCYBuu2	.01	transparent
BAAMashi4	KDCAjumbu10	.01	transparent
BAAMashi4	KDVFang1	.01	transparent
BAAMashi4	KEMBuu1	.01	transparent
BAAMashi4	KFKMashi1	.01	transparent
BAAMashi4	KHKFang12	.01	transparent
BAAMashi4	KJSFang2	.01	transparent
BAAMashi4	KMNAjumbu2	.01	transparent
BAAMashi4	LFNMundabli1	.01	transparent
BAAMashi4	MCANgun3	.01	transparent
BAAMashi4	MEAMumfu3	.01	transparent
BAAMashi4	MNJBuu4	.01	transparent
BAAMashi4	MRYKoshin2	.01	transparent
BAAMashi4	NACAbar2	.01	transparent
BAAMashi4	NCCMumfu4	.01	transparent
BAAMashi4	NCMMashi5	.01	transparent
BAAMashi4	NDNMissong5	.01	transparent
BAAMashi4	NEAMunken1	.01	transparent
BAAMashi4	NEMAjumbu9	.01	transparent
BAAMashi4	NFKBiya7	.01	transparent
BAAMashi4	NGTMunken3	.01	transparent
BAAMashi4	NINMundabli4	.01	transparent
BAAMashi4	NJNBiya6	.01	transparent
BAAMashi4	NJSKung4	.01	transparent
BAAMashi4	NMAAbar1	.01	transparent
BAAMashi4	NMNMundabli3	.01	transparent
BAAMashi4	NMSMissong4	.01	transparent
BAAMashi4	NNBBuu3	.01	transparent
BAAMashi4	NSFBiya5	.01	transparent
BAAMashi4	NUNMunken4	.01	transparent
BAAMashi4	NVBAbar7	.01	transparent
BAAMashi4	NVIAjumbu1	.01	transparent
BAAMashi4	TELKoshin4	.01	transparent
BAAMashi4	TNTMunken2	.01	transparent
BAAMashi4	WCANgun1	.01	transparent
BAAMashi4	ZKGKung1	.01	transparent
BKBMashi2	BNMKung2	.01	transparent
BKBMashi2	CENMundabli2	.01	transparent
BKBMashi2	DNMMumfu2	.01	transparent
BKBMashi2	DPJKoshin1	.01	transparent
BKBMashi2	DPNFang13	.01	transparent
BKBMashi2	ECLAbar8	.01	transparent
BKBMashi2	ENBBiya1	.01	transparent
BKBMashi2	FBCBiya8	.01	transparent
BKBMashi2	ICNBiya2	.01	transparent
BKBMashi2	JGYKoshin3	.01	transparent
BKBMashi2	KBMNgun4	.01	transparent
BKBMashi2	KCSKung3	.01	transparent
BKBMashi2	KCYBuu2	.01	transparent
BKBMashi2	KDCAjumbu10	.01	transparent
BKBMashi2	KDVFang1	.01	transparent
BKBMashi2	KEMBuu1	.01	transparent
BKBMashi2	KFKMashi1	.01	transparent
BKBMashi2	KHKFang12	.01	transparent
BKBMashi2	KJSFang2	.01	transparent
BKBMashi2	KMNAjumbu2	.01	transparent
BKBMashi2	LFNMundabli1	.01	transparent
BKBMashi2	MCANgun3	.01	transparent
BKBMashi2	MEAMumfu3	.01	transparent
BKBMashi2	MNJBuu4	.01	transparent
BKBMashi2	MRYKoshin2	.01	transparent
BKBMashi2	NACAbar2	.01	transparent
BKBMashi2	NCCMumfu4	.01	transparent
BKBMashi2	NCMMashi5	.01	transparent
BKBMashi2	NDNMissong5	.01	transparent
BKBMashi2	NEAMunken1	.01	transparent
BKBMashi2	NEMAjumbu9	.01	transparent
BKBMashi2	NFKBiya7	.01	transparent
BKBMashi2	NGTMunken3	.01	transparent
BKBMashi2	NINMundabli4	.01	transparent
BKBMashi2	NJNBiya6	.01	transparent
BKBMashi2	NJSKung4	.01	transparent
BKBMashi2	NMAAbar1	.01	transparent
BKBMashi2	NMNMundabli3	.01	transparent
BKBMashi2	NMSMissong4	.01	transparent
BKBMashi2	NNBBuu3	.01	transparent
BKBMashi2	NSFBiya5	.01	transparent
BKBMashi2	NUNMunken4	.01	transparent
BKBMashi2	NVBAbar7	.01	transparent
BKBMashi2	NVIAjumbu1	.01	transparent
BKBMashi2	TELKoshin4	.01	transparent
BKBMashi2	TNTMunken2	.01	transparent
BKBMashi2	WCANgun1	.01	transparent
BKBMashi2	ZKGKung1	.01	transparent
BNMKung2	CENMundabli2	13	purple
BNMKung2	DNMMumfu2	11	purple
BNMKung2	DPJKoshin1	.01	transparent
BNMKung2	DPNFang13	.01	transparent
BNMKung2	ECLAbar8	.01	transparent
BNMKung2	ENBBiya1	.01	transparent
BNMKung2	FBCBiya8	.01	transparent
BNMKung2	ICNBiya2	.01	transparent
BNMKung2	JGYKoshin3	.01	transparent
BNMKung2	KBMNgun4	.01	transparent
BNMKung2	KCSKung3	26.666666666666668	grey75
BNMKung2	KCYBuu2	21	blue
BNMKung2	KDCAjumbu10	.01	transparent
BNMKung2	KDVFang1	.01	transparent
BNMKung2	KEMBuu1	21	blue
BNMKung2	KFKMashi1	.01	transparent
BNMKung2	KHKFang12	.01	transparent
BNMKung2	KJSFang2	.01	transparent
BNMKung2	KMNAjumbu2	.01	transparent
BNMKung2	LFNMundabli1	12	purple
BNMKung2	MCANgun3	.01	transparent
BNMKung2	MEAMumfu3	12	purple
BNMKung2	MNJBuu4	27	blue
BNMKung2	MRYKoshin2	.01	transparent
BNMKung2	NACAbar2	.01	transparent
BNMKung2	NCCMumfu4	12	purple
BNMKung2	NCMMashi5	.01	transparent
BNMKung2	NDNMissong5	.01	transparent
BNMKung2	NEAMunken1	.01	transparent
BNMKung2	NEMAjumbu9	.01	transparent
BNMKung2	NFKBiya7	.01	transparent
BNMKung2	NGTMunken3	.01	transparent
BNMKung2	NINMundabli4	13	purple
BNMKung2	NJNBiya6	.01	transparent
BNMKung2	NJSKung4	28.666666666666668	grey75
BNMKung2	NMAAbar1	.01	transparent
BNMKung2	NMNMundabli3	12	purple
BNMKung2	NMSMissong4	.01	transparent
BNMKung2	NNBBuu3	27	blue
BNMKung2	NSFBiya5	.01	transparent
BNMKung2	NUNMunken4	.01	transparent
BNMKung2	NVBAbar7	.01	transparent
BNMKung2	NVIAjumbu1	.01	transparent
BNMKung2	TELKoshin4	.01	transparent
BNMKung2	TNTMunken2	.01	transparent
BNMKung2	WCANgun1	.01	transparent
BNMKung2	ZKGKung1	30.0	grey75
CENMundabli2	DNMMumfu2	29.333333333333332	grey75
CENMundabli2	DPJKoshin1	.01	transparent
CENMundabli2	DPNFang13	.01	transparent
CENMundabli2	ECLAbar8	.01	transparent
CENMundabli2	ENBBiya1	.01	transparent
CENMundabli2	FBCBiya8	.01	transparent
CENMundabli2	ICNBiya2	.01	transparent
CENMundabli2	JGYKoshin3	.01	transparent
CENMundabli2	KBMNgun4	.01	transparent
CENMundabli2	KCSKung3	17	purple
CENMundabli2	KCYBuu2	45	red
CENMundabli2	KDCAjumbu10	.01	transparent
CENMundabli2	KDVFang1	.01	transparent
CENMundabli2	KEMBuu1	49	red
CENMundabli2	KFKMashi1	.01	transparent
CENMundabli2	KHKFang12	.01	transparent
CENMundabli2	KJSFang2	.01	transparent
CENMundabli2	KMNAjumbu2	.01	transparent
CENMundabli2	LFNMundabli1	37.0	grey75
CENMundabli2	MCANgun3	.01	transparent
CENMundabli2	MEAMumfu3	32.333333333333336	grey75
CENMundabli2	MNJBuu4	51	red
CENMundabli2	MRYKoshin2	.01	transparent
CENMundabli2	NACAbar2	.01	transparent
CENMundabli2	NCCMumfu4	33.0	grey75
CENMundabli2	NCMMashi5	.01	transparent
CENMundabli2	NDNMissong5	.01	transparent
CENMundabli2	NEAMunken1	.01	transparent
CENMundabli2	NEMAjumbu9	.01	transparent
CENMundabli2	NFKBiya7	.01	transparent
CENMundabli2	NGTMunken3	.01	transparent
CENMundabli2	NINMundabli4	37.0	grey75
CENMundabli2	NJNBiya6	.01	transparent
CENMundabli2	NJSKung4	16	purple
CENMundabli2	NMAAbar1	.01	transparent
CENMundabli2	NMNMundabli3	38.666666666666664	grey75
CENMundabli2	NMSMissong4	.01	transparent
CENMundabli2	NNBBuu3	53	red
CENMundabli2	NSFBiya5	.01	transparent
CENMundabli2	NUNMunken4	.01	transparent
CENMundabli2	NVBAbar7	.01	transparent
CENMundabli2	NVIAjumbu1	.01	transparent
CENMundabli2	TELKoshin4	.01	transparent
CENMundabli2	TNTMunken2	.01	transparent
CENMundabli2	WCANgun1	.01	transparent
CENMundabli2	ZKGKung1	14	purple
DNMMumfu2	DPJKoshin1	.01	transparent
DNMMumfu2	DPNFang13	.01	transparent
DNMMumfu2	ECLAbar8	.01	transparent
DNMMumfu2	ENBBiya1	.01	transparent
DNMMumfu2	FBCBiya8	.01	transparent
DNMMumfu2	ICNBiya2	.01	transparent
DNMMumfu2	JGYKoshin3	.01	transparent
DNMMumfu2	KBMNgun4	.01	transparent
DNMMumfu2	KCSKung3	13	purple
DNMMumfu2	KCYBuu2	38	red
DNMMumfu2	KDCAjumbu10	.01	transparent
DNMMumfu2	KDVFang1	.01	transparent
DNMMumfu2	KEMBuu1	43	red
DNMMumfu2	KFKMashi1	.01	transparent
DNMMumfu2	KHKFang12	.01	transparent
DNMMumfu2	KJSFang2	.01	transparent
DNMMumfu2	KMNAjumbu2	.01	transparent
DNMMumfu2	LFNMundabli1	30.0	grey75
DNMMumfu2	MCANgun3	.01	transparent
DNMMumfu2	MEAMumfu3	35.333333333333336	grey75
DNMMumfu2	MNJBuu4	44	red
DNMMumfu2	MRYKoshin2	.01	transparent
DNMMumfu2	NACAbar2	.01	transparent
DNMMumfu2	NCCMumfu4	35.0	grey75
DNMMumfu2	NCMMashi5	.01	transparent
DNMMumfu2	NDNMissong5	.01	transparent
DNMMumfu2	NEAMunken1	.01	transparent
DNMMumfu2	NEMAjumbu9	.01	transparent
DNMMumfu2	NFKBiya7	.01	transparent
DNMMumfu2	NGTMunken3	.01	transparent
DNMMumfu2	NINMundabli4	28.333333333333332	grey75
DNMMumfu2	NJNBiya6	.01	transparent
DNMMumfu2	NJSKung4	13	purple
DNMMumfu2	NMAAbar1	.01	transparent
DNMMumfu2	NMNMundabli3	29.0	grey75
DNMMumfu2	NMSMissong4	.01	transparent
DNMMumfu2	NNBBuu3	44	red
DNMMumfu2	NSFBiya5	.01	transparent
DNMMumfu2	NUNMunken4	.01	transparent
DNMMumfu2	NVBAbar7	.01	transparent
DNMMumfu2	NVIAjumbu1	.01	transparent
DNMMumfu2	TELKoshin4	.01	transparent
DNMMumfu2	TNTMunken2	.01	transparent
DNMMumfu2	WCANgun1	.01	transparent
DNMMumfu2	ZKGKung1	11	purple
DPJKoshin1	DPNFang13	.01	transparent
DPJKoshin1	ECLAbar8	.01	transparent
DPJKoshin1	ENBBiya1	.01	transparent
DPJKoshin1	FBCBiya8	.01	transparent
DPJKoshin1	ICNBiya2	.01	transparent
DPJKoshin1	JGYKoshin3	.01	transparent
DPJKoshin1	KBMNgun4	.01	transparent
DPJKoshin1	KCSKung3	.01	transparent
DPJKoshin1	KCYBuu2	.01	transparent
DPJKoshin1	KDCAjumbu10	.01	transparent
DPJKoshin1	KDVFang1	.01	transparent
DPJKoshin1	KEMBuu1	.01	transparent
DPJKoshin1	KFKMashi1	.01	transparent
DPJKoshin1	KHKFang12	.01	transparent
DPJKoshin1	KJSFang2	.01	transparent
DPJKoshin1	KMNAjumbu2	.01	transparent
DPJKoshin1	LFNMundabli1	.01	transparent
DPJKoshin1	MCANgun3	.01	transparent
DPJKoshin1	MEAMumfu3	.01	transparent
DPJKoshin1	MNJBuu4	.01	transparent
DPJKoshin1	MRYKoshin2	.01	transparent
DPJKoshin1	NACAbar2	.01	transparent
DPJKoshin1	NCCMumfu4	.01	transparent
DPJKoshin1	NCMMashi5	.01	transparent
DPJKoshin1	NDNMissong5	.01	transparent
DPJKoshin1	NEAMunken1	.01	transparent
DPJKoshin1	NEMAjumbu9	.01	transparent
DPJKoshin1	NFKBiya7	.01	transparent
DPJKoshin1	NGTMunken3	.01	transparent
DPJKoshin1	NINMundabli4	.01	transparent
