Pattern	abar1239	biya1235	buuu1246	fang1248	kosh1246	kung1260	mbuu1238	miss1255	mufu1234	mund1340	munk1244	naki1238	ngun1279	Examples	COGID
abar1239:1	1	0	0	0	0	0	0	0	0	0	0	0	0	9	130 137 193 241 280 321 316 447 871	1219_sky, 1238_smoke, 1306_stomach, 1367_termite, 1409_trap, 1513_winglesstermite, 1513_winglesstermite, 334_compound, 95_bat
biya1235:2 mbuu1238:3 munk1244:3 ngun1279:3	0	2	0	0	0	0	3	0	0	0	3	0	3	1	125	1219_sky
mbuu1238:1	0	0	0	0	0	0	1	0	0	0	0	0	0	16	131 173 170 192 194 220 417 430 443 595 625 624 722 756 829 868	1219_sky, 1266_spider, 1266_spider, 1306_stomach, 1306_stomach, 1312_story, 253_caterpillar, 277_child, 334_compound, 50_animal, 541_flybird, 541_flybird, 654_heart, 713_intestine, 90_basket, 95_bat
kosh1246:2 mufu1234:1 mund1340:4 naki1238:2	0	0	0	0	2	0	0	0	1	4	0	2	0	1	126	1219_sky
munk1244:1 ngun1279:1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	129 604	1219_sky, 522_fireside
abar1239:3 biya1235:2 buuu1246:4 kosh1246:2 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 ngun1279:4	3	2	4	0	2	0	4	2	2	4	4	0	4	1	132	1238_smoke
abar1239:4	4	0	0	0	0	0	0	0	0	0	0	0	0	3	143 180 650	1240_snake, 1290_star, 574_gardenegg
biya1235:2 miss1255:2 munk1244:4 ngun1279:4	0	2	0	0	0	0	0	2	0	0	4	0	4	3	138 501 757	1240_snake, 391_devil, 719_jaw
buuu1246:4 mufu1234:2 mund1340:4	0	0	4	0	0	0	0	0	2	4	0	0	0	2	139 548	1240_snake, 443_egg
kosh1246:3 kung1260:4	0	0	0	0	3	4	0	0	0	0	0	0	0	1	141	1240_snake
abar1239:4 biya1235:2 buuu1246:4 fang1248:2 kosh1246:4 kung1260:4 mbuu1238:4 miss1255:2 munk1244:4 naki1238:2 ngun1279:4	4	2	4	2	4	4	4	2	0	0	4	2	4	1	145	1247_soap
mufu1234:1 mund1340:1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	146	1247_soap
mund1340:3	0	0	0	0	0	0	0	0	0	3	0	0	0	2	147 592	1247_soap, 50_animal
abar1239:4 biya1235:1 miss1255:1 munk1244:3 ngun1279:4	4	1	0	0	0	0	0	1	0	0	3	0	4	1	149	1249_soldierant
fang1248:3 kosh1246:2 mbuu1238:1 mufu1234:1 mund1340:1	0	0	0	3	2	0	1	0	1	1	0	0	0	1	151	1249_soldierant
mbuu1238:3	0	0	0	0	0	0	3	0	0	0	0	0	0	7	157 221 444 594 615 755 777	1249_soldierant, 1312_story, 334_compound, 50_animal, 527_fish, 713_intestine, 803_knife
biya1235:1	0	1	0	0	0	0	0	0	0	0	0	0	0	9	154 181 230 242 295 309 442 821 891	1249_soldierant, 1290_star, 1325_sun, 1367_termite, 1451_umbrella, 1490_water, 334_compound, 909_mother, 980_pap
buuu1246:3 mufu1234:1 mund1340:3	0	0	3	0	0	0	0	0	1	3	0	0	0	1	153	1249_soldierant
munk1244:1	0	0	0	0	0	0	0	0	0	0	1	0	0	15	159 186 222 281 320 331 405 412 419 418 466 581 643 732 810	1249_soldierant, 1290_star, 1312_story, 1409_trap, 1513_winglesstermite, 1541_xylophone, 247_casecourtn, 250_cat, 253_caterpillar, 253_caterpillar, 359_cricket, 487_father, 557_friend, 661_hill, 903_monkey
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:3 mbuu1238:4 miss1255:2 mund1340:4 munk1244:4 ngun1279:4	4	2	4	4	3	0	4	2	0	4	4	0	4	1	160	1252_song
mufu1234:2 naki1238:2	0	0	0	0	0	0	0	0	2	0	0	2	0	1	161	1252_song
abar1239:4 biya1235:2 miss1255:1 munk1244:4 ngun1279:2	4	2	0	0	0	0	0	1	0	0	4	0	2	1	164	1266_spider
buuu1246:3 fang1248:3 kosh1246:2 mufu1234:1 mund1340:4	0	0	3	3	2	0	0	0	1	4	0	0	0	1	166	1266_spider
biya1235:1 naki1238:2 ngun1279:4	0	1	0	0	0	0	0	0	0	0	0	2	4	1	175	1290_star
fang1248:2 kosh1246:3	0	0	0	2	3	0	0	0	0	0	0	0	0	2	182 737	1290_star, 667_hoe
mufu1234:2 mund1340:4	0	0	0	0	0	0	0	0	2	4	0	0	0	17	176 214 335 344 353 363 394 409 449 598 627 750 758 837 858 883 888	1290_star, 1312_story, 1542_yam, 1552_zinc, 157_bird, 163_blood, 237_cap, 250_cat, 340_corn, 519_fire, 550_forest, 713_intestine, 719_jaw, 921_name, 958_owl, 978_palmtree, 980_pap
munk1244:3	0	0	0	0	0	0	0	0	0	0	3	0	0	4	185 319 332 779	1290_star, 1513_winglesstermite, 1541_xylophone, 803_knife
abar1239:3 biya1235:2 buuu1246:4 fang1248:2 kosh1246:2 kung1260:3 mbuu1238:2 miss1255:1 mufu1234:2 mund1340:4 munk1244:4 ngun1279:4	3	2	4	2	2	3	2	1	2	4	4	0	4	1	187	1306_stomach
fang1248:1 mbuu1238:4	0	0	0	1	0	0	4	0	0	0	0	0	0	2	200 277	1307_stone, 1409_trap
buuu1246:4 fang1248:1 kosh1246:3 mufu1234:2 mund1340:4 naki1238:2	0	0	4	1	3	0	0	0	2	4	0	2	0	1	197	1307_stone
abar1239:4 biya1235:2 munk1244:2 ngun1279:4	4	2	0	0	0	0	0	0	0	0	2	0	4	1	202	1311_stormwind
fang1248:4 mbuu1238:4 mufu1234:2	0	0	0	4	0	0	4	0	2	0	0	0	0	1	203	1311_stormwind
kung1260:3	0	0	0	0	0	3	0	0	0	0	0	0	0	6	205 385 503 668 728 853	1311_stormwind, 194_broom, 391_devil, 594_grass, 661_hill, 944_oil
abar1239:4 biya1235:2 munk1244:3 ngun1279:3	4	2	0	0	0	0	0	0	0	0	3	0	3	1	213	1312_story
fang1248:4 kosh1246:2 naki1238:1	0	0	0	4	2	0	0	0	0	0	0	1	0	1	218	1312_story
naki1238:1	0	0	0	0	0	0	0	0	0	0	0	1	0	9	215 264 628 689 692 697 869 874 878	1312_story, 1403_toilet, 550_forest, 618_gun, 618_gun, 620_hailstone, 95_bat, 975_palmnut, 975_palmnut
abar1239:4 biya1235:1 buuu1246:4 miss1255:2 munk1244:4 ngun1279:4	4	1	4	0	0	0	0	2	0	0	4	0	4	1	224	1325_sun
kosh1246:2 mufu1234:2 mund1340:4	0	0	0	0	2	0	0	0	2	4	0	0	0	3	225 510 569	1325_sun, 40_air, 477_faeces
abar1239:1 mbuu1238:4 miss1255:2	1	0	0	0	0	0	4	2	0	0	0	0	0	1	237	1367_termite
fang1248:2 mufu1234:2	0	0	0	2	0	0	0	0	2	0	0	0	0	1	238	1367_termite
abar1239:4 buuu1246:1 mufu1234:2 mund1340:4	4	0	1	0	0	0	0	0	2	4	0	0	0	1	253	139_bed
fang1248:4 kosh1246:3 mbuu1238:3	0	0	0	4	3	0	3	0	0	0	0	0	0	1	257	139_bed
buuu1246:3 mbuu1238:1 miss1255:2	0	0	3	0	0	0	1	2	0	0	0	0	0	1	251	139_bed
biya1235:2 munk1244:4 ngun1279:4	0	2	0	0	0	0	0	0	0	0	4	0	4	3	252 556 645	139_bed, 458_elephantstalk, 574_gardenegg
abar1239:4 biya1235:2 miss1255:1 munk1244:4	4	2	0	0	0	0	0	1	0	0	4	0	0	1	259	1403_toilet
mbuu1238:4 mufu1234:2	0	0	0	0	0	0	4	0	2	0	0	0	0	1	261	1403_toilet
buuu1246:4 fang1248:2 kosh1246:3 miss1255:1 mund1340:4 naki1238:1	0	0	4	2	3	0	0	1	0	4	0	1	0	1	258	1403_toilet
ngun1279:4	0	0	0	0	0	0	0	0	0	0	0	0	4	3	260 767 812	1403_toilet, 76_bag, 905_moon
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:4 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 naki1238:2 ngun1279:4	4	2	4	4	4	0	4	2	2	4	4	2	4	1	266	1404_tongue
abar1239:4 biya1235:2 kung1260:4 mbuu1238:4 miss1255:2 munk1244:4 ngun1279:4	4	2	0	0	0	4	4	2	0	0	4	0	4	1	268	1405_tooth
buuu1246:4 fang1248:4 kosh1246:2 mufu1234:2 mund1340:4	0	0	4	4	2	0	0	0	2	4	0	0	0	1	269	1405_tooth
abar1239:3 biya1235:2 buuu1246:2 kosh1246:1 kung1260:1 mufu1234:1 mund1340:2 munk1244:3 ngun1279:3	3	2	2	0	1	1	0	0	1	2	3	0	3	1	273	1409_trap
fang1248:3	0	0	0	3	0	0	0	0	0	0	0	0	0	7	276 341 485 490 678 690 775	1409_trap, 1542_yam, 374_dance, 381_day, 596_grasshopper, 618_gun, 803_knife
kosh1246:2 miss1255:1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	272	1409_trap
kosh1246:1 naki1238:2	0	0	0	0	1	0	0	0	0	0	0	2	0	2	274 576	1409_trap, 484_farm
mufu1234:1 mund1340:2	0	0	0	0	0	0	0	0	1	2	0	0	0	1	275	1409_trap
abar1239:4 biya1235:2 buuu1246:1 mbuu1238:4 munk1244:4 naki1238:2 ngun1279:4	4	2	1	0	0	0	4	0	0	0	4	2	4	1	284	1416_tree
buuu1246:3 fang1248:4 kosh1246:2 mufu1234:2 mund1340:4	0	0	3	4	2	0	0	0	2	4	0	0	0	1	285	1416_tree
abar1239:4 biya1235:1 buuu1246:4 kosh1246:1 kung1260:3 mbuu1238:4 miss1255:1 munk1244:4 ngun1279:1	4	1	4	0	1	3	4	1	0	0	4	0	1	1	287	1451_umbrella
miss1255:1 mund1340:2	0	0	0	0	0	0	0	1	0	2	0	0	0	1	288	1451_umbrella
ngun1279:2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	297 348 778	1451_umbrella, 1552_zinc, 803_knife
buuu1246:4 fang1248:2 kosh1246:3 kung1260:4 miss1255:2 mufu1234:2 mund1340:4 naki1238:2	0	0	4	2	3	4	0	2	2	4	0	2	0	1	300	1484_war
abar1239:4 biya1235:1 miss1255:2 munk1244:4 ngun1279:4	4	1	0	0	0	0	0	2	0	0	4	0	4	1	304	1490_water
buuu1246:4 kosh1246:1 mufu1234:2 mund1340:4	0	0	4	0	1	0	0	0	2	4	0	0	0	1	305	1490_water
buuu1246:2 fang1248:1 kosh1246:2 mbuu1238:4 mufu1234:2 mund1340:4 naki1238:2	0	0	2	1	2	0	4	0	2	4	0	2	0	1	315	1513_winglesstermite
biya1235:2 buuu1246:1 ngun1279:3	0	2	1	0	0	0	0	0	0	0	0	0	3	1	314	1513_winglesstermite
abar1239:2 biya1235:1 ngun1279:2	2	1	0	0	0	0	0	0	0	0	0	0	2	1	325	1526_workn
buuu1246:1 kung1260:2 mbuu1238:4 ngun1279:2	0	0	1	0	0	2	4	0	0	0	0	0	2	1	324	1526_workn
biya1235:1 buuu1246:3 fang1248:2 kosh1246:2 miss1255:2 mufu1234:2 mund1340:4 naki1238:2	0	1	3	2	2	0	0	2	2	4	0	2	0	1	323	1526_workn
abar1239:3 biya1235:2 miss1255:2 mufu1234:2 mund1340:4 ngun1279:4	3	2	0	0	0	0	0	2	2	4	0	0	4	1	327	1541_xylophone
buuu1246:4 fang1248:4 kosh1246:4 kung1260:2	0	0	4	4	4	2	0	0	0	0	0	0	0	1	329	1541_xylophone
abar1239:4 biya1235:2 buuu1246:4 kosh1246:1 mbuu1238:4 miss1255:2 munk1244:4 ngun1279:4	4	2	4	0	1	0	4	2	0	0	4	0	4	1	334	1542_yam
abar1239:1 biya1235:1 kosh1246:1 munk1244:2 naki1238:2 ngun1279:2	1	1	0	0	1	0	0	0	0	0	2	2	2	1	343	1552_zinc
abar1239:1 biya1235:1 buuu1246:2 kung1260:3 mbuu1238:4	1	1	2	0	0	3	4	0	0	0	0	0	0	1	345	1552_zinc
fang1248:2 munk1244:2	0	0	0	2	0	0	0	0	0	0	2	0	0	1	346	1552_zinc
abar1239:4 munk1244:4	4	0	0	0	0	0	0	0	0	0	4	0	0	1	356	157_bird
buuu1246:4 fang1248:3 kosh1246:4 kung1260:4 mbuu1238:4	0	0	4	3	4	4	4	0	0	0	0	0	0	1	355	157_bird
biya1235:2 ngun1279:4	0	2	0	0	0	0	0	0	0	0	0	0	4	1	352	157_bird
fang1248:1 naki1238:2	0	0	0	1	0	0	0	0	0	0	0	2	0	1	354	157_bird
abar1239:4 biya1235:2 buuu1246:4 mbuu1238:4 miss1255:2 mund1340:2 munk1244:3 naki1238:2 ngun1279:4	4	2	4	0	0	0	4	2	0	2	3	2	4	1	357	159_bitterleaf
fang1248:4 kosh1246:2	0	0	0	4	2	0	0	0	0	0	0	0	0	2	360 386	159_bitterleaf, 194_broom
mufu1234:2 mund1340:2	0	0	0	0	0	0	0	0	2	2	0	0	0	3	358 378 617	159_bitterleaf, 192_bridge, 541_flybird
abar1239:4 biya1235:2 buuu1246:4 kung1260:3 miss1255:2 munk1244:4 ngun1279:4	4	2	4	0	0	3	0	2	0	0	4	0	4	1	362	163_blood
kung1260:1 naki1238:2	0	0	0	0	0	1	0	0	0	0	0	2	0	1	364	163_blood
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:3 kung1260:2 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 naki1238:2 ngun1279:3	4	2	4	4	3	2	4	2	2	4	4	2	3	1	369	170_book
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:3 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 naki1238:2 ngun1279:4	4	2	4	4	3	0	4	2	2	4	4	2	4	1	373	184_breast
abar1239:4 biya1235:2 buuu1246:2 fang1248:4 kosh1246:1 mbuu1238:2 miss1255:1 munk1244:4 naki1238:2 ngun1279:4	4	2	2	4	1	0	2	1	0	0	4	2	4	1	376	192_bridge
buuu1246:2 kung1260:2	0	0	2	0	0	2	0	0	0	0	0	0	0	1	379	192_bridge
kosh1246:1 miss1255:1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	377	192_bridge
mufu1234:2 mund1340:4 naki1238:2	0	0	0	0	0	0	0	0	2	4	0	2	0	2	384 800	194_broom, 889_medicine
abar1239:3 biya1235:2 kung1260:2 miss1255:1 munk1244:4 ngun1279:4	3	2	0	0	0	2	0	1	0	0	4	0	4	1	390	233_camwood
buuu1246:4 fang1248:2 kosh1246:2 mbuu1238:4 mufu1234:2 mund1340:4 naki1238:2	0	0	4	2	2	0	4	0	2	4	0	2	0	1	391	233_camwood
abar1239:2 buuu1246:2 fang1248:2 kosh1246:3 mbuu1238:3	2	0	2	2	3	0	3	0	0	0	0	0	0	1	397	237_cap
biya1235:1 ngun1279:4	0	1	0	0	0	0	0	0	0	0	0	0	4	1	393	237_cap
biya1235:1 kung1260:4 munk1244:3	0	1	0	0	0	4	0	0	0	0	3	0	0	1	396	237_cap
abar1239:1 biya1235:2 miss1255:1 munk1244:3 ngun1279:4	1	2	0	0	0	0	0	1	0	0	3	0	4	1	399	247_casecourtn
abar1239:1 buuu1246:4 kosh1246:3 mufu1234:2 mund1340:4	1	0	4	0	3	0	0	0	2	4	0	0	0	1	400	247_casecourtn
kung1260:2 mbuu1238:4	0	0	0	0	0	2	4	0	0	0	0	0	0	2	404 531	247_casecourtn, 428_drum
abar1239:4 biya1235:2 munk1244:3 ngun1279:4	4	2	0	0	0	0	0	0	0	0	3	0	4	2	408 588	250_cat, 500_fence
buuu1246:4 miss1255:2 naki1238:2	0	0	4	0	0	0	0	2	0	0	0	2	0	1	407	250_cat
fang1248:4 kosh1246:3	0	0	0	4	3	0	0	0	0	0	0	0	0	3	411 649 840	250_cat, 574_gardenegg, 921_name
abar1239:4 biya1235:2 buuu1246:4 miss1255:1 mufu1234:1 munk1244:2 naki1238:2 ngun1279:4	4	2	4	0	0	0	0	1	1	0	2	2	4	1	413	253_caterpillar
kung1260:4 mbuu1238:3 miss1255:1	0	0	0	0	0	4	3	1	0	0	0	0	0	1	414	253_caterpillar
fang1248:4 kosh1246:2 mufu1234:1 mund1340:4	0	0	0	4	2	0	0	0	1	4	0	0	0	1	415	253_caterpillar
abar1239:3 buuu1246:1 fang1248:4 kosh1246:3 kung1260:4 mbuu1238:4	3	0	1	4	3	4	4	0	0	0	0	0	0	1	423	264_chair
abar1239:1 biya1235:2 mund1340:3 munk1244:4 ngun1279:2	1	2	0	0	0	0	0	0	0	3	4	0	2	1	421	264_chair
buuu1246:2 miss1255:2 mufu1234:2 mund1340:1 ngun1279:2	0	0	2	0	0	0	0	2	2	1	0	0	2	1	420	264_chair
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 naki1238:2 ngun1279:4	4	2	4	4	0	0	4	2	2	4	4	2	4	1	425	276_chief
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:2 kung1260:4 mbuu1238:3 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 ngun1279:4	4	2	4	4	2	4	3	2	2	4	4	0	4	1	428	277_child
abar1239:2 miss1255:2 munk1244:3	2	0	0	0	0	0	0	2	0	0	3	0	0	1	431	304_cloth
fang1248:4 kosh1246:3 mbuu1238:2 mufu1234:2 mund1340:4 naki1238:2	0	0	0	4	3	0	2	0	2	4	0	2	0	1	433	304_cloth
biya1235:2 buuu1246:2 ngun1279:4	0	2	2	0	0	0	0	0	0	0	0	0	4	1	432	304_cloth
abar1239:3 biya1235:1 munk1244:3 ngun1279:1	3	1	0	0	0	0	0	0	0	0	3	0	1	1	441	334_compound
buuu1246:4 kosh1246:3 mufu1234:2 mund1340:2	0	0	4	0	3	0	0	0	2	2	0	0	0	1	436	334_compound
miss1255:2 ngun1279:3	0	0	0	0	0	0	0	2	0	0	0	0	3	1	435	334_compound
buuu1246:3 kosh1246:4	0	0	3	0	4	0	0	0	0	0	0	0	0	1	452	340_corn
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:4 kung1260:4 mbuu1238:2 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 ngun1279:4	4	2	4	4	4	4	2	2	2	4	4	0	4	1	456	348_cowcattle
abar1239:3 biya1235:2 munk1244:2 ngun1279:4	3	2	0	0	0	0	0	0	0	0	2	0	4	1	459	351_crab
abar1239:1 buuu1246:4 fang1248:4 kosh1246:3 kung1260:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:1 naki1238:2	1	0	4	4	3	4	0	2	2	4	1	2	0	1	458	351_crab
abar1239:4 biya1235:2 miss1255:2 munk1244:3 ngun1279:4	4	2	0	0	0	0	0	2	0	0	3	0	4	3	462 517 574	359_cricket, 412_dog, 484_farm
buuu1246:4 fang1248:3 kosh1246:3 mbuu1238:4 mufu1234:2 mund1340:4 naki1238:2	0	0	4	3	3	0	4	0	2	4	0	2	0	1	463	359_cricket
abar1239:4 biya1235:2 kosh1246:3 munk1244:4 ngun1279:4	4	2	0	0	3	0	0	0	0	0	4	0	4	1	468	365_cup
fang1248:3 mufu1234:2 mund1340:4	0	0	0	3	0	0	0	0	2	4	0	0	0	1	469	365_cup
abar1239:4 biya1235:2 miss1255:2 naki1238:2 ngun1279:2	4	2	0	0	0	0	0	2	0	0	0	2	2	1	476	371_cutlass
