Pattern	abar1239	biya1235	buuu1246	fang1248	kosh1246	kung1260	mbuu1238	miss1255	mufu1234	mund1340	munk1244	naki1238	ngun1279	Examples	COGID
buuu1246:4 fang1248:4 mbuu1238:3	0	0	4	4	0	0	3	0	0	0	0	0	0	1	481	371_cutlass
kosh1246:4 mufu1234:1 munk1244:1 ngun1279:1	0	0	0	0	4	0	0	0	1	0	1	0	1	1	480	371_cutlass
munk1244:3 ngun1279:1	0	0	0	0	0	0	0	0	0	0	3	0	1	1	477	371_cutlass
abar1239:4 miss1255:2 munk1244:1 ngun1279:2	4	0	0	0	0	0	0	2	0	0	1	0	2	1	482	374_dance
biya1235:2 buuu1246:4 kosh1246:2 kung1260:4 mbuu1238:4 mufu1234:2 mund1340:4 munk1244:3 naki1238:2	0	2	4	0	2	4	4	0	2	4	3	2	0	1	483	374_dance
abar1239:4 miss1255:2 munk1244:4 ngun1279:3	4	0	0	0	0	0	0	2	0	0	4	0	3	1	486	381_day
biya1235:2 ngun1279:1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	491	381_day
buuu1246:3 fang1248:1 mund1340:1	0	0	3	1	0	0	0	0	0	1	0	0	0	1	494	381_day
abar1239:4 biya1235:2 buuu1246:3 kosh1246:3 mbuu1238:4 munk1244:4 ngun1279:4	4	2	3	0	3	0	4	0	0	0	4	0	4	1	498	385_deitygodgod
buuu1246:1 fang1248:3 kung1260:4	0	0	1	3	0	4	0	0	0	0	0	0	0	1	499	385_deitygodgod
miss1255:2 mufu1234:2 mund1340:4 naki1238:2	0	0	0	0	0	0	0	2	2	4	0	2	0	1	497	385_deitygodgod
abar1239:4 buuu1246:4 mbuu1238:4	4	0	4	0	0	0	4	0	0	0	0	0	0	1	506	391_devil
fang1248:2 mufu1234:2 mund1340:4 naki1238:2	0	0	0	2	0	0	0	0	2	4	0	2	0	1	502	391_devil
abar1239:4 biya1235:2 buuu1246:4 miss1255:2 munk1244:4 ngun1279:4	4	2	4	0	0	0	0	2	0	0	4	0	4	3	509 538 749	40_air, 433_dust, 713_intestine
mbuu1238:2	0	0	0	0	0	0	2	0	0	0	0	0	0	4	522 680 822 828	412_dog, 596_grasshopper, 909_mother, 90_basket
buuu1246:2 mufu1234:2 mund1340:4	0	0	2	0	0	0	0	0	2	4	0	0	0	1	518	412_dog
kosh1246:3 kung1260:3	0	0	0	0	3	3	0	0	0	0	0	0	0	1	520	412_dog
fang1248:2 kosh1246:1 mufu1234:2 mund1340:3	0	0	0	2	1	0	0	0	2	3	0	0	0	1	527	428_drum
abar1239:2 biya1235:2 buuu1246:2 fang1248:2 kosh1246:2 kung1260:2 miss1255:2 mufu1234:2 mund1340:4 munk1244:3 ngun1279:4	2	2	2	2	2	2	0	2	2	4	3	0	4	1	535	430_dryseason
kosh1246:2 mund1340:1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	542	433_dust
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:3 kung1260:4 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 naki1238:2 ngun1279:4	4	2	4	4	3	4	4	2	2	4	4	2	4	1	545	435_ear
abar1239:4 biya1235:2 kung1260:2 miss1255:2 munk1244:4 ngun1279:4	4	2	0	0	0	2	0	2	0	0	4	0	4	1	547	443_egg
fang1248:4 naki1238:2	0	0	0	4	0	0	0	0	0	0	0	2	0	2	549 814	443_egg, 905_moon
fang1248:2 mbuu1238:4	0	0	0	2	0	0	4	0	0	0	0	0	0	2	559 739	458_elephantstalk, 667_hoe
kosh1246:2 naki1238:2	0	0	0	0	2	0	0	0	0	0	0	2	0	2	558 727	458_elephantstalk, 661_hill
buuu1246:4 fang1248:3 mbuu1238:4	0	0	4	3	0	0	4	0	0	0	0	0	0	1	567	474_eye
kosh1246:4 mufu1234:2 mund1340:4	0	0	0	0	4	0	0	0	2	4	0	0	0	1	564	474_eye
abar1239:4 biya1235:2 buuu1246:4 mbuu1238:4 miss1255:2 munk1244:4 ngun1279:4	4	2	4	0	0	0	4	2	0	0	4	0	4	1	568	477_faeces
buuu1246:4 fang1248:4 mbuu1238:4 mufu1234:2 mund1340:4	0	0	4	4	0	0	4	0	2	4	0	0	0	1	575	484_farm
abar1239:3 biya1235:1 buuu1246:4 fang1248:1 kosh1246:1 mbuu1238:3 miss1255:2 mufu1234:2 mund1340:4 munk1244:3 naki1238:1	3	1	4	1	1	0	3	2	2	4	3	1	0	1	579	487_father
abar1239:1 biya1235:1 fang1248:1 kosh1246:1 kung1260:4 mbuu1238:1 naki1238:1 ngun1279:4	1	1	0	1	1	4	1	0	0	0	0	1	4	1	580	487_father
abar1239:4 buuu1246:3 kosh1246:1 miss1255:2 munk1244:2 ngun1279:4	4	0	3	0	1	0	0	2	0	0	2	0	4	1	582	493_feather
biya1235:2 kung1260:4 mbuu1238:2 munk1244:2	0	2	0	0	0	4	2	0	0	0	2	0	0	1	585	493_feather
buuu1246:1 fang1248:2 mbuu1238:2 mufu1234:1 mund1340:3	0	0	1	2	0	0	2	0	1	3	0	0	0	1	583	493_feather
kosh1246:3 mund1340:1	0	0	0	0	3	0	0	0	0	1	0	0	0	1	586	493_feather
buuu1246:4 fang1248:3 kosh1246:4 kung1260:4 mbuu1238:4 mufu1234:2 mund1340:4 munk1244:1 naki1238:2	0	0	4	3	4	4	4	0	2	4	1	2	0	1	589	500_fence
buuu1246:4 fang1248:4 kosh1246:3 kung1260:4 mufu1234:1 mund1340:1 naki1238:2	0	0	4	4	3	4	0	0	1	1	0	2	0	1	591	50_animal
abar1239:4 buuu1246:4 mbuu1238:4 miss1255:2	4	0	4	0	0	0	4	2	0	0	0	0	0	1	596	519_fire
biya1235:2 kung1260:4 munk1244:4 ngun1279:4	0	2	0	0	0	4	0	0	0	0	4	0	4	2	597 687	519_fire, 618_gun
biya1235:2 munk1244:1 ngun1279:2	0	2	0	0	0	0	0	0	0	0	1	0	2	1	607	522_fireside
buuu1246:4 fang1248:3 kosh1246:2 miss1255:1 mufu1234:1 mund1340:4 munk1244:2	0	0	4	3	2	0	0	1	1	4	2	0	0	1	603	522_fireside
kung1260:2 miss1255:1 ngun1279:1	0	0	0	0	0	2	0	1	0	0	0	0	1	1	602	522_fireside
fang1248:4 kosh1246:4 mbuu1238:1	0	0	0	4	4	0	1	0	0	0	0	0	0	1	614	527_fish
buuu1246:4 miss1255:2 mufu1234:2 mund1340:4	0	0	4	0	0	0	0	2	2	4	0	0	0	1	610	527_fish
abar1239:2 biya1235:2 buuu1246:2 munk1244:2 ngun1279:2	2	2	2	0	0	0	0	0	0	0	2	0	2	1	623	541_flybird
abar1239:2 buuu1246:2 mbuu1238:2 miss1255:2 munk1244:2 ngun1279:2	2	0	2	0	0	0	2	2	0	0	2	0	2	1	616	541_flybird
fang1248:2 kosh1246:2 mund1340:2	0	0	0	2	2	0	0	0	0	2	0	0	0	1	620	541_flybird
kosh1246:1 kung1260:4	0	0	0	0	1	4	0	0	0	0	0	0	0	2	619 808	541_flybird, 903_monkey
abar1239:4 buuu1246:4 kosh1246:3 kung1260:4 mbuu1238:4 miss1255:2 munk1244:3 naki1238:1 ngun1279:4	4	0	4	0	3	4	4	2	0	0	3	1	4	1	626	550_forest
biya1235:2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	631	550_forest
fang1248:4 munk1244:1	0	0	0	4	0	0	0	0	0	0	1	0	0	1	630	550_forest
buuu1246:4 kosh1246:3 mbuu1238:4 mufu1234:2 mund1340:4 naki1238:2	0	0	4	0	3	0	4	0	2	4	0	2	0	1	633	556_fowl
abar1239:2 biya1235:2 munk1244:1 ngun1279:2	2	2	0	0	0	0	0	0	0	0	1	0	2	1	642	557_friend
abar1239:2 ngun1279:2	2	0	0	0	0	0	0	0	0	0	0	0	2	1	638	557_friend
buuu1246:4 fang1248:4 kosh1246:3 mbuu1238:4 mufu1234:2 mund1340:4 naki1238:2	0	0	4	4	3	0	4	0	2	4	0	2	0	1	639	557_friend
mbuu1238:4 naki1238:2	0	0	0	0	0	0	4	0	0	0	0	2	0	1	646	574_gardenegg
miss1255:2 mufu1234:2 mund1340:4	0	0	0	0	0	0	0	2	2	4	0	0	0	2	644 733	574_gardenegg, 667_hoe
abar1239:2 biya1235:1 munk1244:1 ngun1279:1	2	1	0	0	0	0	0	0	0	0	1	0	1	1	656	584_gizzardfowl
abar1239:2 munk1244:3 ngun1279:1	2	0	0	0	0	0	0	0	0	0	3	0	1	1	655	584_gizzardfowl
biya1235:1 buuu1246:4 mbuu1238:2 miss1255:1 ngun1279:1	0	1	4	0	0	0	2	1	0	0	0	0	1	1	652	584_gizzardfowl
fang1248:3 kosh1246:3 mufu1234:1 mund1340:4 naki1238:2	0	0	0	3	3	0	0	0	1	4	0	2	0	1	653	584_gizzardfowl
abar1239:4 biya1235:2 mbuu1238:4 miss1255:2 munk1244:4 naki1238:2 ngun1279:4	4	2	0	0	0	0	4	2	0	0	4	2	4	1	658	590_goat
buuu1246:4 fang1248:3 mufu1234:2 mund1340:4	0	0	4	3	0	0	0	0	2	4	0	0	0	1	659	590_goat
abar1239:4 biya1235:2 kung1260:1 munk1244:1 ngun1279:4	4	2	0	0	0	1	0	0	0	0	1	0	4	1	663	592_gong
buuu1246:4 fang1248:3 kosh1246:4 kung1260:3 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:3 naki1238:2	0	0	4	3	4	3	4	2	2	4	3	2	0	1	662	592_gong
abar1239:4 biya1235:2 buuu1246:3 fang1248:4 mbuu1238:4 miss1255:2 mufu1234:1 mund1340:2 munk1244:4 ngun1279:4	4	2	3	4	0	0	4	2	1	2	4	0	4	1	665	594_grass
buuu1246:1 mufu1234:1 mund1340:1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	666	594_grass
abar1239:4 buuu1246:4 mbuu1238:1 munk1244:4	4	0	4	0	0	0	1	0	0	0	4	0	0	1	679	596_grasshopper
biya1235:1 kosh1246:2 kung1260:4 mbuu1238:1 miss1255:2 mund1340:2	0	1	0	0	2	4	1	2	0	2	0	0	0	1	673	596_grasshopper
biya1235:1 ngun1279:3	0	1	0	0	0	0	0	0	0	0	0	0	3	1	674	596_grasshopper
kosh1246:2 mufu1234:1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	675	596_grasshopper
mund1340:2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	677 797	596_grasshopper, 822_leaf
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:3 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 naki1238:2 ngun1279:4	4	2	4	4	3	0	0	2	2	4	4	2	4	1	682	599_grave
abar1239:4 buuu1246:4 mbuu1238:4 miss1255:1	4	0	4	0	0	0	4	1	0	0	0	0	0	1	686	618_gun
fang1248:1 mufu1234:2 mund1340:4	0	0	0	1	0	0	0	0	2	4	0	0	0	1	688	618_gun
abar1239:4 biya1235:2 mbuu1238:2 miss1255:2 munk1244:2 ngun1279:3	4	2	0	0	0	0	2	2	0	0	2	0	3	1	693	620_hailstone
buuu1246:4 fang1248:1 kosh1246:3 mbuu1238:2 mufu1234:1 mund1340:4 munk1244:1 naki1238:1	0	0	4	1	3	0	2	0	1	4	1	1	0	1	694	620_hailstone
fang1248:2 munk1244:1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	696	620_hailstone
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:2 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 ngun1279:4	4	2	4	4	2	0	4	2	2	4	4	0	4	1	699	621_hair
abar1239:4 biya1235:2 buuu1246:4 kosh1246:1 mbuu1238:4 miss1255:2 mund1340:2 munk1244:4 ngun1279:4	4	2	4	0	1	0	4	2	0	2	4	0	4	1	704	623_hand
kosh1246:2 mufu1234:2 mund1340:2	0	0	0	0	2	0	0	0	2	2	0	0	0	1	705	623_hand
abar1239:4 biya1235:2 buuu1246:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 naki1238:2 ngun1279:4	4	2	4	0	0	0	0	2	2	4	4	2	4	1	709	648_head
fang1248:4 kosh1246:3 mbuu1238:4	0	0	0	4	3	0	4	0	0	0	0	0	0	2	712 788	648_head, 81_banana
abar1239:2 biya1235:2 buuu1246:1 kung1260:2 miss1255:2 mufu1234:1 munk1244:4 ngun1279:4	2	2	1	0	0	2	0	2	1	0	4	0	4	1	713	650_headpad
buuu1246:3 fang1248:2 kosh1246:3 mufu1234:1 naki1238:2	0	0	3	2	3	0	0	0	1	0	0	2	0	1	714	650_headpad
abar1239:4 biya1235:2 buuu1246:2 fang1248:3 kosh1246:3 kung1260:3 mbuu1238:3 miss1255:2 mufu1234:2 mund1340:4 munk1244:3 naki1238:2 ngun1279:3	4	2	2	3	3	3	3	2	2	4	3	2	3	1	718	654_heart
buuu1246:2 munk1244:1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	720	654_heart
abar1239:4 biya1235:1 buuu1246:3 fang1248:3 kosh1246:1 miss1255:2 mund1340:4 munk1244:2 ngun1279:2	4	1	3	3	1	0	0	2	0	4	2	0	2	1	725	661_hill
kosh1246:1 mbuu1238:4	0	0	0	0	1	0	4	0	0	0	0	0	0	1	729	661_hill
biya1235:1 munk1244:1 ngun1279:2	0	1	0	0	0	0	0	0	0	0	1	0	2	1	730	661_hill
abar1239:4 biya1235:2 buuu1246:4 kung1260:1 munk1244:4 ngun1279:4	4	2	4	0	0	1	0	0	0	0	4	0	4	1	734	667_hoe
abar1239:4 biya1235:2 buuu1246:4 fang1248:2 kung1260:3 mbuu1238:4 munk1244:4 ngun1279:4	4	2	4	2	0	3	4	0	0	0	4	0	4	1	741	676_horse
kosh1246:3 miss1255:2 mufu1234:2 mund1340:4 naki1238:2	0	0	0	0	3	0	0	2	2	4	0	2	0	1	740	676_horse
buuu1246:4 kosh1246:1 mufu1234:2 mund1340:4 naki1238:2	0	0	4	0	1	0	0	0	2	4	0	2	0	1	743	681_house
abar1239:4 buuu1246:4 fang1248:4 kosh1246:3 kung1260:2 mbuu1238:4	4	0	4	4	3	2	4	0	0	0	0	0	0	1	760	719_jaw
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:4 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 ngun1279:4	4	2	4	4	4	0	4	2	2	4	4	0	4	1	763	72_axe
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:4 kung1260:2 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 naki1238:2	4	2	4	4	4	2	4	2	2	4	4	2	0	1	766	76_bag
biya1235:2 miss1255:2 ngun1279:1	0	2	0	0	0	0	0	2	0	0	0	0	1	1	769	803_knife
buuu1246:2 kosh1246:3 mufu1234:2 mund1340:4	0	0	2	0	3	0	0	0	2	4	0	0	0	1	771	803_knife
abar1239:4 biya1235:2 buuu1246:4 fang1248:4 kosh1246:3 kung1260:4 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 ngun1279:4	4	2	4	4	3	4	4	2	2	4	4	0	4	1	780	813_ladder
abar1239:3 biya1235:1 kung1260:2 miss1255:2 munk1244:1 ngun1279:4	3	1	0	0	0	2	0	2	0	0	1	0	4	1	782	81_banana
abar1239:1 biya1235:1 kung1260:1 munk1244:3	1	1	0	0	0	1	0	0	0	0	3	0	0	1	785	81_banana
buuu1246:4 fang1248:4 kosh1246:3 mbuu1238:4 mund1340:2	0	0	4	4	3	0	4	0	0	2	0	0	0	1	794	822_leaf
abar1239:2 biya1235:2 buuu1246:4 fang1248:4 mbuu1238:4 miss1255:2 munk1244:4 ngun1279:4	2	2	4	4	0	0	4	2	0	0	4	0	4	1	799	889_medicine
abar1239:4 biya1235:1 munk1244:2 ngun1279:4	4	1	0	0	0	0	0	0	0	0	2	0	4	1	805	903_monkey
mbuu1238:4 mufu1234:1 mund1340:1	0	0	0	0	0	0	4	0	1	1	0	0	0	1	806	903_monkey
biya1235:1 munk1244:1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	809	903_monkey
buuu1246:4 fang1248:4 kosh1246:3 mufu1234:1 mund1340:3 naki1238:2	0	0	4	4	3	0	0	0	1	3	0	2	0	1	807	903_monkey
abar1239:3 biya1235:2 miss1255:2 munk1244:4	3	2	0	0	0	0	0	2	0	0	4	0	0	1	811	905_moon
abar1239:1 buuu1246:4 mufu1234:2 mund1340:4	1	0	4	0	0	0	0	0	2	4	0	0	0	1	813	905_moon
abar1239:4 biya1235:1 buuu1246:4 fang1248:2 kosh1246:3 kung1260:4 mbuu1238:2 miss1255:2 mufu1234:1 mund1340:4 munk1244:4 naki1238:2 ngun1279:4	4	1	4	2	3	4	2	2	1	4	4	2	4	1	819	909_mother
abar1239:3 miss1255:2 munk1244:4 ngun1279:1	3	0	0	0	0	0	0	2	0	0	4	0	1	1	823	90_basket
buuu1246:4 kosh1246:4 mbuu1238:1 mufu1234:2 mund1340:4	0	0	4	0	4	0	1	0	2	4	0	0	0	1	825	90_basket
biya1235:2 fang1248:4 kung1260:4 ngun1279:2	0	2	0	4	0	4	0	0	0	0	0	0	2	1	827	90_basket
buuu1246:4 fang1248:2 kosh1246:3 mbuu1238:4 mufu1234:2 mund1340:3 naki1238:2	0	0	4	2	3	0	4	0	2	3	0	2	0	1	831	913_mouth
abar1239:4 biya1235:2 buuu1246:4 miss1255:1 munk1244:4 naki1238:2 ngun1279:4	4	2	4	0	0	0	0	1	0	0	4	2	4	1	836	921_name
buuu1246:4 fang1248:4 kosh1246:3 kung1260:1 mbuu1238:4 mufu1234:2 mund1340:4	0	0	4	4	3	1	4	0	2	4	0	0	0	1	843	939_nose
abar1239:4 biya1235:2 miss1255:2 munk1244:4 ngun1279:3	4	2	0	0	0	0	0	2	0	0	4	0	3	1	848	944_oil
buuu1246:4 kosh1246:2 mufu1234:2 mund1340:4	0	0	4	0	2	0	0	0	2	4	0	0	0	1	849	944_oil
abar1239:4 biya1235:2 buuu1246:3 miss1255:2 munk1244:2 ngun1279:3	4	2	3	0	0	0	0	2	0	0	2	0	3	1	856	958_owl
kung1260:1 mbuu1238:4	0	0	0	0	0	1	4	0	0	0	0	0	0	1	861	958_owl
fang1248:3 ngun1279:1	0	0	0	3	0	0	0	0	0	0	0	0	1	1	857	958_owl
kosh1246:3 kung1260:1 naki1238:2	0	0	0	0	3	1	0	0	0	0	0	2	0	1	859	958_owl
abar1239:3 biya1235:1 kosh1246:2 kung1260:2 miss1255:2 mund1340:4 munk1244:1 ngun1279:2	3	1	0	0	2	2	0	2	0	4	1	0	2	1	863	95_bat
buuu1246:2 mbuu1238:2	0	0	2	0	0	0	2	0	0	0	0	0	0	1	867	95_bat
biya1235:1 buuu1246:2 fang1248:1 kosh1246:1 munk1244:2 naki1238:1 ngun1279:2	0	1	2	1	1	0	0	0	0	0	2	1	2	1	864	95_bat
abar1239:4 biya1235:2 kosh1246:1 mbuu1238:4 miss1255:2 munk1244:2 ngun1279:4	4	2	0	0	1	0	4	2	0	0	2	0	4	1	872	975_palmnut
buuu1246:3 mufu1234:2 mund1340:4	0	0	3	0	0	0	0	0	2	4	0	0	0	1	873	975_palmnut
buuu1246:1 kosh1246:3	0	0	1	0	3	0	0	0	0	0	0	0	0	1	877	975_palmnut
abar1239:4 ngun1279:4	4	0	0	0	0	0	0	0	0	0	0	0	4	1	882	978_palmtree
mbuu1238:4 miss1255:1	0	0	0	0	0	0	4	1	0	0	0	0	0	1	880	978_palmtree
biya1235:2 miss1255:1 munk1244:4	0	2	0	0	0	0	0	1	0	0	4	0	0	1	881	978_palmtree
buuu1246:4 fang1248:4 kosh1246:3 kung1260:4	0	0	4	4	3	4	0	0	0	0	0	0	0	1	885	978_palmtree
abar1239:2 biya1235:1 miss1255:2 munk1244:4 ngun1279:4	2	1	0	0	0	0	0	2	0	0	4	0	4	1	887	980_pap
buuu1246:4 fang1248:2 mbuu1238:4	0	0	4	2	0	0	4	0	0	0	0	0	0	1	890	980_pap
