ID,Name,Concepticon_ID,Concepticon_Gloss
789_kotreeleaf,k.o tree (leaf),,
790_kotreespoonfruit,k.o tree (spoon-fruit),,
791_kodance,k.o. dance,,
792_kernel,kernel,,
793_kerneluncracked,kernel (uncracked),,
794_kernelchaff,kernel chaff,,
795_kerneloil,kernel oil,,
796_kernelshellbark,kernel shell (bark),,
798_kill,kill,,
799_kingfisher,kingfisher,,
800_kite,kite,,
801_knee,knee,,
803_knife,knife,,
805_knittingpin,knitting pin,,
809_knowledge,knowledge,,
810_knuckle,knuckle,,
813_ladder,ladder,,
814_lake,lake,,
815_land,land,,
816_laughn,laugh (n),,
817_laughv,laugh (v),,
818_laughter,laughter,,
819_lawn,law (n),,
820_laziness,laziness,,
821_lazyman,lazy man,,
822_leaf,leaf,,
826_leg,leg,,
827_leopard,leopard,,
828_leprosy,leprosy,,
829_letter,letter,,
831_lice,lice,,
833_lie,lie,,
834_liedeceivev,lie (deceive) (v),,
835_lienfalsen,"lie (n), false (n)",,
838_light,light,,
843_linen,line (n),,
844_lion,lion,,
846_littlehandbag,little hand bag,,
848_liver,liver,,
849_lizard,lizard,,
850_lizardsmoothskin,lizard (smooth skin),,
853_lockv,lock (v),,
854_locust,locust,,
855_longdrum,long drum,,
857_longmouthrat,long mouth rat,,
858_longneckcalabash,long neck calabash,,
861_lowergrindingstone,lower grinding stone,,
862_lowergrindingstonepepper,lower-grinding-stone(pepper),,
863_lowerpepperstone,lower-pepper-stone,,
864_lungs,lungs,,
865_maggot,maggot,,
867_male,male,,
868_malelizardredhead,male lizard (red head),,
869_maleyouthdance,male youth dance,,
870_man,man,,
873_market,market,,
874_marrow,marrow,,
875_marrowbone,marrow (bone),,
876_marrowbrain,marrow (brain),,
877_matbamboosplint,mat (bamboo splint),,
878_matrhizomplant,mat (rhizom plant),,
879_matsoftplanttissue,mat (soft plant  tissue),,
880_mbangasoup,mbanga soup,,
881_mbangasoupfish,mbanga soup fish,,
884_measurement,measurement,,
885_meat,meat,,
886_meatmat,meat mat,,
887_meatslate,meat slate,,
888_meatgauze,meat-gauze,,
889_medicine,medicine,,
892_messenger,messenger,,
893_milk,milk,,
894_millipede,millipede,,
898_mistfog,"mist, fog",,
902_money,money,,
903_monkey,monkey,,
904_month,month,,
905_moon,moon,,
906_mortar,mortar,,
907_mosquito,mosquito,,
908_mossplant,moss plant,,
909_mother,mother,,
910_motherinlaw,mother-in-law,,
912_mountain,mountain,,
913_mouth,mouth,,
914_mud,mud,,
915_mudfish,mudfish,,
917_mumps,mumps,,
918_mushroom,mushroom,,
919_musicalpipe,musical pipe,,
920_nail,nail,,
921_name,name,,
923_nativecup,native cup,,
924_nativemaggispice,native maggi spice,,
925_nativepantmen,native pant (men),,
927_nativeumbrella,native umbrella,,
928_navel,navel,,
929_neck,neck,,
932_necklacewomen,necklace (women),,
933_needle,needle,,
934_net,net,,
935_nine9,nine (9),,
936_nineteen19,nineteen (19),,
937_ninety90,ninety (90),,
939_nose,nose,,
940_nostril,nostril,,
941_oathn,oath (n),,
943_odourn,odour (n),,
944_oil,oil,,
945_oilchaff,oil chaff,,
946_oilchaffsieve,oil chaff sieve,,
947_oilmill,oil mill,,
949_one1,one (1),,
950_onehundred100,one hundred (100),,
952_onethousand1000,one thousand (1000),,
953_open,open,,
954_openpot,open (pot),,
956_orange,orange,,
957_outerpalmnuts,outer palm nuts,,
958_owl,owl,,
959_painn,pain (n),,
960_palace,palace,,
961_palmhand,palm (hand),,
962_palmbamboo,palm bamboo,,
963_palmbarrenfruit,palm barren fruit,,
964_palmbeetle,palm beetle,,
965_palmbeetlefromdeadpalm,palm beetle (from dead palm),,
966_palmbroom,palm broom,,
967_palmcone,palm cone,,
968_palmconeempty,palm cone (empty),,
969_palmcotton,palm cotton,,
970_palmflower,palm flower,,
971_palmfrond,palm frond,,
972_palmgrub,palm grub,,
973_palmmaggotgrub,palm maggot (grub),,
974_palmmargotyellowdestroysyoungpalms,"palm margot (yellow, destroys young palms)",,
975_palmnut,palm nut,,
976_palmoil,palm oil,,
977_palmthorns,palm thorns,,
978_palmtree,palm tree,,
979_palmnutscracked,palmnuts(cracked),,
980_pap,pap,,
981_papspoon,pap spoon,,
983_partridgenonredlegs,partridge (non red legs),,
984_partridgeredlegs,partridge (red legs),,
986_patchesdotted,"patches, dotted",,
988_pawpaw,pawpaw,,
991_peaceplant,peace plant,,
993_pear,pear,,
998_pen,pen,,
999_penis,penis,,
1000_pepper,pepper,,
1001_pepperstone,pepper stone,,
1003_person,person,,
1005_pestle,pestle,,
1006_pestlecocoyam,pestle (cocoyam),,
1007_pestleforfufu,pestle (for fufu),,
1008_pestlefufu,pestle (fufu),,
1009_pestlepalmnut,pestle (palm nut),,
1011_pianobamboo,piano (bamboo),,
1012_pianostring,piano (string),,
1017_pig,pig,,
1018_pillar,pillar,,
1019_pillarinhousesupportceiling,pillar (in-house support ceiling),,
1020_pimple,pimple,,
1022_pineapple,pineapple,,
1023_pipe,pipe,,
1024_place,place,,
1025_placenta,placenta,,
1027_plantain,plantain,,
1032_plantingbasket,planting basket,,
1033_plantingbasketwaist,planting basket (waist),,
1043_poison,poison,,
1044_pot,pot,,
1045_potsizingstone,pot-sizing stone,,
1046_potato,potato,,
1049_powern,power (n),,
1052_prayingmantis,praying mantis,,
1053_pregnancy,pregnancy,,
1056_pricen,price (n),,
1057_prince,prince,,
1061_pumpkinfruit,pumpkin fruit,,
1062_pumpkinleaf,pumpkin leaf,,
1063_pus,pus,,
1071_quarreln,quarrel (n),,
1073_quarter,quarter,,
1074_quarterhead,quarter head,,
1075_raffia,raffia,,
1076_raffiabamboo,raffia bamboo,,
1077_raffiafibre,raffia fibre,,
1078_raffiafruit,raffia fruit,,
1079_rain,rain,,
1080_rainbow,rainbow,,
1081_rainyseason,rainy season,,
1084_ram,ram,,
1086_rat,rat,,
1087_ratbush,rat (bush),,
1088_ratsizenexttoratmole,rat (size next to rat mole),,
1089_ratsmallest,rat (smallest),,
1090_ratyellowabdomen,rat (yellow abdomen),,
1091_ratmole,rat mole,,
1092_razorblade,razor blade,,
1095_red,red,,
1096_redfeatherbirdfeatheroncaps,red feather bird (feather on caps),,
1108_response,response,,
1110_rhizomefruithilllilly,rhizome fruit (hill lilly),,
1111_rhizomefruitvalleylilly,rhizome fruit (valley lilly),,
1112_rib,rib,,
1114_rice,rice,,
1116_ridgebedfarm,ridge (bed-farm),,
1117_ridgefarm,ridge (farm),,
1118_ring,ring,,
1119_ringhandear,"ring (hand, ear)",,
1121_ringworm,ringworm,,
1122_river,river,,
1123_road,road,,
1124_roadjunction,road junction,,
1125_roast,roast,,
1126_roastcorn,roast (corn),,
1128_robe,robe,,
1129_rock,rock,,
1132_roof,roof,,
1134_root,root,,
1136_rope,rope,,
1138_ropeko,rope (k.o),,
1139_ropepalmclimbing,rope (palm climbing),,
1145_run,run,,
1146_sacreddance,sacred dance,,
1148_salt,salt,,
1149_saltcalabash,salt calabash,,
1150_sand,sand,,
1151_sandpapertree,sand-paper tree,,
1152_saucercalabash,saucer (calabash),,
1154_scabies,scabies,,
1155_scar,scar,,
1161_scorpion,scorpion,,
1165_screechowl,screech owl,,
1167_seed,seed,,
1168_seedlingplantingseeds,seedling (planting seeds),,
1173_sell,sell,,
1176_seven7,seven (7),,
1177_seventeen17,seventeen (17),,
1178_seventy70,seventy (70),,
1185_shavescissors,shave (scissors),,
1186_shaveheadrazor,shave head(razor),,
1187_shavingknife,shaving knife,,
1188_sheath,sheath,,
1189_sheep,sheep,,
1190_shellsnail,shell (snail),,
1192_shin,shin,,
1198_shoe,shoe,,
1200_shortdrum,short drum,,
1201_shoulder,shoulder,,
1204_sickness,sickness,,
1205_sidepainrapidheartbeatundertheleftbreast,side pain (rapid heart beat under the left breast),,
1206_sieve,sieve,,
1211_six6,six (6),,
1212_sixteen16,sixteen (16),,
1213_sixty60,sixty (60),,
1214_skeleton,skeleton,,
1215_skin,skin,,
1216_skinraschescausebyheat,skin rasches (cause by heat),,
1217_skinrashesbaby,skin rashes (baby),,
1218_skull,skull,,
1219_sky,sky,,
1220_skyheaven,"sky, heaven",,
1221_slave,slave,,
1222_sleep,sleep,,
1224_slimysoup,slimy soup,,
1225_slimysoupchaff,slimy soup chaff,,
1226_slimysoupdish,slimy soup dish,,
1227_slimysoupdishclaypot,slimy soup dish (clay pot),,
1229_smalldrum,small drum,,
1230_smallgrindingstone,small grinding stone,,
1231_smallhandbagforfemaledance,small hand bag for female (dance),,
1232_smallhandbagformaledance,small hand bag for male (dance),,
1233_smallnoisemakinggrasshopper,small noise making grasshopper,,
1234_smallwovendish,small woven dish,,
1238_smoke,smoke,,
1239_snail,snail,,
1240_snake,snake,,
1241_snakeblack,snake (black),,
1242_snakedottedmboma,snake (dotted mboma),,
1243_snakewhitesmallest,"snake (white, smallest)",,
1244_sneeze,sneeze,,
1245_snore,snore,,
1247_soap,soap,,
1248_soilbeetleedible,soil beetle (edible),,
1249_soldierant,soldier ant,,
1250_soleunderfoot,sole (underfoot),,
1252_song,song,,
1253_songbirdafterrain,song bird (after rain),,
1254_songbirdearlymorning,song bird (early morning,,
1255_soot,soot,,
1256_soup,soup,,
1257_soupliquid,soup (liquid),,
1258_soupvegetable,soup (vegetable),,
1259_soupdish,soup dish,,
1260_souppotclaymade,soup-pot (clay-made),,
1262_spear,spear,,
1263_speargrass,spear grass,,
1265_sperm,sperm,,
1266_spider,spider,,
1267_spinv,spin (v),,
1268_spinebackbone,spine (backbone),,
1269_spirit,spirit,,
1270_spit,spit,,
1271_spleensidebellypain,spleen (side belly pain),,
1274_spoon,spoon,,
1275_spooncalabash,spoon (calabash),,
1276_spoonvegetables,spoon (vegetables),,
1278_spring,spring,,
1285_staffstickwalksupport,staff (stick walk support),,
1286_staffwalksupport,staff (walk support),,
1290_star,star,,
1293_stem,stem,,
1294_stick,stick,,
1295_stick1,stick1,,
1296_stick2,stick2,,
1298_stinginessn,stinginess (n),,
1299_stinginessselfishness,"stinginess, selfishness",,
1301_stingyman,stingy man,,
1305_stirringspoonvegetables,stirring spoon (vegetables),,
1306_stomach,stomach,,
1307_stone,stone,,
1308_stonetrap,stone trap,,
1311_stormwind,storm (wind),,
1312_story,story,,
1313_stream,stream,,
1316_strippedrat,stripped rat,,
1318_subchief,sub chief,,
1322_suffern,suffer (n),,
1323_sugarcane,sugar cane,,
1324_summonv,summon  (v),,
1325_sun,sun,,
1327_swallowfood,swallow (food),,
1328_swallowbird,swallow bird,,
1329_swamp,swamp,,
1330_swearn,swear (n),,
1332_sweat,sweat,,
1334_swelln,swell (n),,
1336_swellingwithnopus,swelling (with no pus),,
1339_tadpolefrogfish,tad-pole (frog/fish),,
1340_tadpole,tadpole,,
1341_take,take,,
1345_talkingdrum,talking drum,,
1347_tappingpipe,tapping -pipe,,
1348_tappinghoe,tapping hoe,,
1349_tappingknife,tapping knife,,
1350_tappingpipe,tapping pipe,,
1351_tappingpiperaffiapalmwine,tapping pipe (raffia/palm wine),,
1352_tappingpipe,tapping-pipe,,
1353_tarantula,tarantula,,
1355_tatoo,tatoo,,
1359_tears,tears,,
1360_teeth,teeth,,
1364_ten10,ten (10),,
1367_termite,termite,,
1368_termitemount,termite mount,,
1370_testicle,testicle,,
1371_thankn,thank (n),,
1373_thatchgrass,thatch grass,,
1374_they,they,,
1375_thief,thief,,
1376_thighlap,thigh (lap),,
1377_thing,thing,,
1378_think,think,,
1379_thirteen13,thirteen (13),,
1380_thirty30,thirty (30),,
1381_thongs,thongs,,
1382_three3,three (3),,
1384_throat,throat,,
1386_thumb,thumb,,
1387_tiebag,tie (bag),,
1390_tiger,tiger,,
1396_toadroughback,toad (rough back),,
1397_tobacco,tobacco,,
1398_tobaccoleaf,tobacco leaf,,
1399_tobaccopipe,tobacco pipe,,
1400_tobaccopowder,tobacco powder,,
1401_toe,toe,,
1403_toilet,toilet,,
1404_tongue,tongue,,
1405_tooth,tooth,,
1409_trap,trap,,
1410_trap2,trap (2),,
1411_trapinclinedstone,trap (inclined stone),,
1412_trappartridge,trap (partridge),,
1413_trapropebone,trap (rope-bone),,
1415_tray,tray,,
1416_tree,tree,,
1417_treebeans,tree beans,,
1418_troublen,trouble (n),,
1419_troughcocoyamcow,"trough, (cocoyam, cow)",,
1420_trumpet,trumpet,,
1421_tunic,tunic,,
1423_twelve12,twelve (12),,
1424_twenty20,twenty (20),,
1427_twentyfour24,twenty four (24),,
1429_twentyone21,twenty one (21),,
1433_twentythree23,twenty three (23),,
1434_twentytwo22,twenty two (22),,
1435_twin,twin,,
1436_twincalabash,twin calabash,,
1437_twine,twine,,
1439_twineweavedropelap,twine (weaved-rope)(lap),,
1440_twinewovenfibre,twine (woven fibre),,
1441_twineweavedhand,twine weaved (hand),,
1443_two2,two (2),,
1444_twoheadsnakehuman,two head snake (human),,
1445_twohundred200,two hundred (200),,
1447_twothousand2000,two thousand (2000),,
1448_tyrecar,tyre (car),,
1450_umbilicalcord,umbilical cord,,
1451_umbrella,umbrella,,
1453_umbrellanonnative,umbrella (non-native),,
1454_uncle,uncle,,
1456_uppergrindingstone,upper grinding stone,,
1458_uppergrindingstonepepper,upper-grinding-stone(pepper),,
1459_upperpepperstone,upper-pepper-stone,,
1460_upperwallshelfinsidethehouse,upper-wall-shelf (inside the house),,
1463_urine,urine,,
1464_vagina,vagina,,
1465_valley,valley,,
1466_vegetablespoon,vegetable spoon,,
1467_vein,vein,,
1469_village,village,,
1470_viper,viper,,
1471_vomit,vomit,,
1472_vomitmatter,vomit matter,,
1473_waist,waist,,
1474_waistbeads,waist beads,,
1475_waistbead,waist-bead,,
1478_walk,walk,,
1479_walkingstaff,walking-staff,,
1480_wallhouse,wall (house),,
1481_wallshelf,wall shelf,,
1484_war,war,,
1485_warm,warm,,
1486_waspbrown,wasp (brown),,
1487_waspbush,wasp (bush),,
1488_wasphouseblack,"wasp (house, black)",,
1489_watch,watch,,
1490_water,water,,
1491_waterduck,water duck,,
1492_waxincense,wax (incense),,
1493_waxnativeincense,wax (native-incense),,
1494_weinc,we (inc),,
1495_wear,wear,,
1496_weavedrope,weaved rope,,
1497_weaverbird,weaver bird,,
1498_weedv,weed (v),,
1499_week,week,,
1502_white,white,,
1503_whiteman,white man,,
1504_whiteneckhawk,white neck hawk,,
1505_wickedheartn,wicked heart (n),,
1506_wickedman,wicked man,,
1507_wickedness,wickedness,,
1508_wicklow,wicklow,,
1509_wife,wife,,
1510_wind,wind,,
1511_winepalmraffia,"wine (palm, raffia)",,
1512_wineredant,wine red ant,,
1513_winglesstermite,wingless termite,,
1514_witch,witch,,
1515_witchman,witch man,,
1516_woman,woman,,
1517_womenclothleaves,women cloth (leaves),,
1520_woodpecker,wood pecker,,
1521_woodendish,wooden dish,,
1522_woodendishleg,wooden dish (leg),,
1523_woodenspoon,wooden spoon,,
1524_woodendishyellowsoupfeastbitterleaf,"wooden-dish (yellow soup, feast bitter-leaf)",,
1526_workn,work (n),,
1528_world,world,,
1530_wound,wound,,
1531_wovenbowl,woven bowl,,
1532_wovendish,woven dish,,
1534_wovendishwithalid,woven dish (with a lid),,
1535_wovendishflatforsievingcornflour,woven-dish (flat for sieving corn flour),,
1536_wovendishforcornfufu,woven-dish (for corn-fufu),,
1537_woventray,woven-tray,,
1539_wrist,wrist,,
1541_xylophone,xylophone,,
1542_yam,yam,,
1543_yard,yard,,
1545_year,year,,
1546_yellowsoup,yellow soup,,
1547_youpl,you (pl),,
1548_yousg,you (sg),,
1549_youngcock,young cock,,
1550_younghen,young hen,,
1551_youngpalmtree,young palm tree,,
1552_zinc,zinc,,
1553_zinchouse,zinc-house,,
1554_nkohleaf,ʻNkohʼ leaf,,
1555_nkohtree,ʻNkohʼ tree,,
1557_malaria,malaria,,
1558_vehiclecar,"vehicle, car",,
1559_elderpalace,elder (palace),,
1550_metalanklerattles,metal ankle rattles,,
1565_time,time,,
1566_traditionalregalia,traditional regalia,,
