ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Variety
ECLAbar8,ECL-Abar-8,abar1239,Abar,,Africa,6.577583,10.237533,Atlantic-Congo,
NACAbar2,NAC-Abar-2,abar1239,Abar,,Africa,6.577583,10.237533,Atlantic-Congo,
NMAAbar1,NMA-Abar-1,abar1239,Abar,,Africa,6.577583,10.237533,Atlantic-Congo,
NVBAbar7,NVB-Abar-7,abar1239,Abar,,Africa,6.577583,10.237533,Atlantic-Congo,
KDCAjumbu10,KDC-Ajumbu-10,mbuu1238,Ajumbu,muc,Africa,6.5391,10.238567,Atlantic-Congo,
KMNAjumbu2,KMN-Ajumbu-2,mbuu1238,Ajumbu,muc,Africa,6.5391,10.238567,Atlantic-Congo,
NEMAjumbu9,NEM-Ajumbu-9,mbuu1238,Ajumbu,muc,Africa,6.5391,10.238567,Atlantic-Congo,
NVIAjumbu1,NVI-Ajumbu-1,mbuu1238,Ajumbu,muc,Africa,6.5391,10.238567,Atlantic-Congo,
ENBBiya1,ENB-Biya-1,biya1235,Biya,,Africa,6.592167,10.205533,Atlantic-Congo,
FBCBiya8,FBC-Biya-8,biya1235,Biya,,Africa,6.592167,10.205533,Atlantic-Congo,
ICNBiya2,ICN-Biya-2,biya1235,Biya,,Africa,6.592167,10.205533,Atlantic-Congo,
NFKBiya7,NFK-Biya-7,biya1235,Biya,,Africa,6.592167,10.205533,Atlantic-Congo,
NJNBiya6,NJN-Biya-6,biya1235,Biya,,Africa,6.592167,10.205533,Atlantic-Congo,
NSFBiya5,NSF-Biya-5,biya1235,Biya,,Africa,6.592167,10.205533,Atlantic-Congo,
KCYBuu2,KCY-Buu-2,buuu1246,Buu,,Africa,6.56465,10.25515,Atlantic-Congo,
KEMBuu1,KEM-Buu-1,buuu1246,Buu,,Africa,6.56465,10.25515,Atlantic-Congo,
MNJBuu4,MNJ-Buu-4,buuu1246,Buu,,Africa,6.56465,10.25515,Atlantic-Congo,
NNBBuu3,NNB-Buu-3,buuu1246,Buu,,Africa,6.56465,10.25515,Atlantic-Congo,
DPNFang13,DPN-Fang-13,fang1248,Fang (Cameroon),fak,Africa,6.549667,10.279017,Atlantic-Congo,
KDVFang1,KDV-Fang-1,fang1248,Fang (Cameroon),fak,Africa,6.549667,10.279017,Atlantic-Congo,
KHKFang12,KHK-Fang-12,fang1248,Fang (Cameroon),fak,Africa,6.549667,10.279017,Atlantic-Congo,
KJSFang2,KJS-Fang-2,fang1248,Fang (Cameroon),fak,Africa,6.549667,10.279017,Atlantic-Congo,
JGYKoshin3,JGY-Koshin-3,kosh1246,Koshin,kid,Africa,6.58815,10.281317,Atlantic-Congo,
MRYKoshin2,MRY-Koshin-2,kosh1246,Koshin,kid,Africa,6.58815,10.281317,Atlantic-Congo,
TELKoshin4,TEL-Koshin-4,kosh1246,Koshin,kid,Africa,6.58815,10.281317,Atlantic-Congo,
BNMKung2,BNM-Kung-2,kung1260,Kung,kfl,Africa,6.561033,10.220383,Atlantic-Congo,
KCSKung3,KCS-Kung-3,kung1260,Kung,kfl,Africa,6.561033,10.220383,Atlantic-Congo,
NJSKung4,NJS-Kung-4,kung1260,Kung,kfl,Africa,6.561033,10.220383,Atlantic-Congo,
ZKGKung1,ZKG-Kung-1,kung1260,Kung,kfl,Africa,6.561033,10.220383,Atlantic-Congo,
ABSMissong1,ABS-Missong-1,miss1255,Missong,,Africa,6.59745,10.24715,Atlantic-Congo,
AGAMissong2,AGA-Missong-2,miss1255,Missong,,Africa,6.59745,10.24715,Atlantic-Congo,
NDNMissong5,NDN-Missong-5,miss1255,Missong,,Africa,6.59745,10.24715,Atlantic-Congo,
NMSMissong4,NMS-Missong-4,miss1255,Missong,,Africa,6.59745,10.24715,Atlantic-Congo,
APBMumfu1,APB-Mumfu-1,mufu1234,Mufu,,Africa,6.612433,10.257167,Atlantic-Congo,
DNMMumfu2,DNM-Mumfu-2,mufu1234,Mufu,,Africa,6.612433,10.257167,Atlantic-Congo,
MEAMumfu3,MEA-Mumfu-3,mufu1234,Mufu,,Africa,6.612433,10.257167,Atlantic-Congo,
NCCMumfu4,NCC-Mumfu-4,mufu1234,Mufu,,Africa,6.612433,10.257167,Atlantic-Congo,
CENMundabli2,CEN-Mundabli-2,mund1340,Mundabli,,Africa,6.606933,10.2733,Atlantic-Congo,
LFNMundabli1,LFN-Mundabli-1,mund1340,Mundabli,,Africa,6.606933,10.2733,Atlantic-Congo,
NINMundabli4,NIN-Mundabli-4,mund1340,Mundabli,,Africa,6.606933,10.2733,Atlantic-Congo,
NMNMundabli3,NMN-Mundabli-3,mund1340,Mundabli,,Africa,6.606933,10.2733,Atlantic-Congo,
NEAMunken1,NEA-Munken-1,munk1244,Munken,,Africa,6.5953,10.223467,Atlantic-Congo,
NGTMunken3,NGT-Munken-3,munk1244,Munken,,Africa,6.5953,10.223467,Atlantic-Congo,
NUNMunken4,NUN-Munken-4,munk1244,Munken,,Africa,6.5953,10.223467,Atlantic-Congo,
TNTMunken2,TNT-Munken-2,munk1244,Munken,,Africa,6.5953,10.223467,Atlantic-Congo,
BAAMashi4,BAA-Mashi-4,naki1238,Naki,mff,Africa,6.600783,10.265667,Atlantic-Congo,
BKBMashi2,BKB-Mashi-2,naki1238,Naki,mff,Africa,6.600783,10.265667,Atlantic-Congo,
KFKMashi1,KFK-Mashi-1,naki1238,Naki,mff,Africa,6.600783,10.265667,Atlantic-Congo,
NCMMashi5,NCM-Mashi-5,naki1238,Naki,mff,Africa,6.600783,10.265667,Atlantic-Congo,
AOMNgun2,AOM-Ngun-2,ngun1279,Ngun,,Africa,6.5814,10.212583,Atlantic-Congo,
KBMNgun4,KBM-Ngun-4,ngun1279,Ngun,,Africa,6.5814,10.212583,Atlantic-Congo,
MCANgun3,MCA-Ngun-3,ngun1279,Ngun,,Africa,6.5814,10.212583,Atlantic-Congo,
WCANgun1,WCA-Ngun-1,ngun1279,Ngun,,Africa,6.5814,10.212583,Atlantic-Congo,
NGTAbar3ANT,NGT-Abar-3-ANT,abar1239,Abar,,Africa,6.577583,10.237533,Atlantic-Congo,
NGTMissong3ANT,NGT-Missong-3-ANT,miss1255,Missong,,Africa,6.59745,10.24715,Atlantic-Congo,
NVBMunken7ANT,NVB-Munken-7-ANT,munk1244,Munken,,Africa,6.5953,10.223467,Atlantic-Congo,
NVBMissong7ANT,NVB-Munken-7-ANT,miss1255,Missong,,Africa,6.59745,10.24715,Atlantic-Congo,
NVBNgun7ANT,NVB-Ngun-7-ANT,ngun1279,Ngun,,Africa,6.5814,10.212583,Atlantic-Congo,
AOMAbar2ANT,AOM-Abar-2-ANT,abar1239,Abar,,Africa,6.577583,10.237533,Atlantic-Congo,
AOMNgun2ANT,AOM-Ngun-2-ANT,ngun1279,Ngun,,Africa,6.5814,10.212583,Atlantic-Congo,
AOMMunken2ANT,AOM-Munken-2-ANT,munk1244,Munken,,Africa,6.5953,10.223467,Atlantic-Congo,