"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NEM-Ajumbu-9","KDC-Ajumbu-10","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KHK-FANG-12","DPN-FANG-13","JGY-Koshin-3","TEL-Koshin-4","KCS-Kung-3","NJS-Kung-4","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","NGT-Munken-3","NUN-Munken-4","MCA-Ngun-3","KBM-Ngun-4"
"1","child","wân / átɛ̂ŋmbɪ̂","wân~wàː / bə̀tə᷇ːŋ~tə́ŋə́","wàŋ~wánó / átɔ́ŋbə̄~àtɔ̂ŋ","wáːnə̂ / átɔ́ŋ","wán / bə̀tə̂ŋ","wán / bə̀tə᷇ːŋ","wán / ɲʲòmnə́","wán / nwòmnə́~ɲʷòmnə́","wán / ŋmɛ́m","wán / ŋmɛ́m","wāɲ / bāɲ","wáɲ / ba᷇ːɲ","wāɲ / m̀nɛ᷇ː","wáʲ / wáːɣê ~ nêmê","ŋwə́ / bín","ŋwə́ / bím","wâ / bàbyáŋbʊ́","wá ~ wó / bàbya᷇ŋ","wɛ́ʼn / ɲɔ́m","wɛ́ʼn / ɲɔ́m","wáɦɲ / ɲɒ́ɦm","wán / ɲɒ́m","wān / bə̀kʲə̂ŋ","wān / bə̀kʲɪ̄ŋ","wān / bɛ̀tʲa᷇ːŋ","wān / bə́tʲa᷇ːŋ"
"3","father","tà~bə̀bá / àtìlə́bʷɪ̂","bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́","tâː~tâːtá~tátò / bàtâːtá~bə̀tâː","bâbə́~bʷâ / bə̀bâbə́~ábʷá","ʊ̀bá~tɛ̂ / pàpá~bàtɛ̂","tʲě / bə̀tʲěː","tə̌ː / bə̀tǎː","tə̌ː / bə̀tə̌ː","tɪ̀lə́ / bə̀tɪ̀lə́","bə̀bá / bə̀bø̂","bâ / bə̀bâ","tʲə̂ / bə́tʲə̂","bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê","bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ","tʃyě / bʊ̀tʃyě","bə̀bə́ / bʊ̀bə̀bə́","tʃyɛ̌ / bàtʃyɛ̌","tʃyɛ̌ / bàtʃyɛ̌","tǎ / bə̀tyə̌ ~ tā / bə̀tāː","tā / bə̀tāːbə́","tɪ̌ː / tʲě","tɪ̌ː / tɪ̌ː wɪ̄","kʲə̀lə́ / bə̀kʲə̀lə́","tâ / bə̀tǎː","pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé","bə̀bá / bə̀bə̀bá"
"4","mother","nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî","nɪ́jā / àné~bʷɪ̀nɪ́jā","ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́","nânə́ / bə̀nânə́~ánâ","nɪ́ā / bə̀nɪ́ā","ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́","nâ / bə̀nâ","nɪ́ː / bə̀nɪ́","nɛ́ / bə̀nɛ́","nɛ̂ / bə̀nɛ̂","nə̂ / bə̀nə̂","ɲʲə́ / bə̀ɲʲə́","nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ","nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ","nî / bʊ̀nî","nî / bʊ̀nî","ɲí / bàɲí","ɲí / bàɲí","n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː","màmí / bə̄nâː","nɪ́ / bɑ̀ɦ ~ bònɪ́","nɪ́ / nɪ́ː","ɲí / bə̀ɲí","nâ / bə̀nàâ","níjā / bɛ̀nɪ́jā","níjā / bɛ̀nɪ́jā"
"7","person","ònò~ʊ̀nʊ̀ / ána᷇ː","ʊ̀nò / bʷɪ̀na᷇ː","ŋʊ̀ / ánɪ̂~ánîbə̄","ŋʊ̀ / ànè","ʊ̀nʊ̀ / bə̀nô","ʊ̀nə̀~ʊ̀nò / bə̀nø̂","mgbɪ̀ / mbɪ́lə́","mgbɪ̀ː / mbɪ᷇ːlə́","ŋmə̀ / ŋmɪ̀m","ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm","mùèɲ ~ mwèɲ / bə́nî","mɥɪ̀ɲ / bə́nî","wùò / àɣʲə᷇ː","wʊ̀ə̀ / ɣʲə᷇ː","mwɪ̀ / bʊ́ní","mwɪ̀ / bʊ́ní","ǹnò / bànɛ̂bʊ̄","n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː","ø / ø","màwɛ̌n / mbɛ̂ː","mò / ḿbɛ̂ː","mò / mbɛ̂ː","ʊ̀nɛ̀ / bə̀nɛ̂","ʊ̀nè / bə́nê","ʊ̀nò / bɛ̀no᷇ː~áno᷇ː","ʊ̀nò / bə́nô"
"16","friend","bî~bîmô / bʷɪ̀bî~àbìmóbʷɪ̀","ʊ̀kʷèː / bʷɪ̀kʷè","ǹ̩sànə́ / ásěː~ǹ̩sànə́","ǹ̩sânə́ / ásé","bí / bàbí~bə̀bí","bʲê / bə̀bʲê","ǹsʊ́n / bə̀nsʊ́n","ǹsʊ́ːn / bə̀nsʊ́ːn","sʊ̄n / bə̀nsʊ́n","sʊ̄n / bə̀nsʊ́n","ńséɲ / ǹséɲ ~ ńséɲ","ǹsɪ̄ɲ / ńsɪ́ɲ","sø̄ʲ ~ wʊ̀òsòɲ / sóʲ","sóʲ / ə̄sóʲ","ǹsʊ́ / ǹsʊ́ŋ","ǹsʊ́ / ǹsʊ́","ìtsʊ̈̌ / kítsʊ̂lə̀","ɪ̀tsʊ̌ / átsʊ́wú~kɪ́tsʊ́lə́","ńsʊ́ŋ / ńswéːn","n̄sʊ̄ŋ / n̄sōn","n̄sʊ̄ŋ / ǹsʊ̄ɪ̄ɲ","ńsʊ́ːŋ / ńsǿé","bʲâ / bə̀bʲá","àtsò / bàtsò","bī~bîː / bɛ̀bí","ʊ̀kɥɪ̀ / bə̀kɥɪ̀"
"21","chief","ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂","ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂","ŋ̀kʊ́~ŋ̀kʷʊ́ò/àŋkʷʊ́bə̄~àŋkʊ́~àŋkú","ŋ̀kʊ́~ŋ̀kú /àŋkʊ́~àŋkú","ŋkʊ́ŋ / bə̀ŋkʊ́ŋ","ŋkʊ́ŋ / bə̀ŋkʊ́ŋ","ŋ̀kə́ŋ / bə̀ŋkə́ŋ","ŋ̀kə́ŋ / bə̀ŋkə́ŋ","ŋkʊ́ŋ / bə̀ŋkʊ́ŋ","ŋkʊ́ŋ / bə̀ŋkʊ́ŋ","fèɲ / tə́fêɲ","fə̀ɲ / tə̀fə̂ɲ","fɔ̀ʲ / sə̀fɔ̂ʲ","fɔ̀ɪ̀ / fɔ̂ɪ̀sə̀ ~ sə̀fɔ́ɪ̀","kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ","kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ","ŋ̀kʊ́ŋ / bàŋkʊ́ŋ","ŋ̀kʊ́ŋ / bàŋkʊ́ŋbʊ̄","ŋkʊ̌ŋ / ŋkʊ̌ŋbə́ ~ŋkʊ́ŋ / ŋkʊ̄ŋ","ŋ̀kʊ̌ŋ / bə̀ŋkʊ̄ŋbə́","ŋkʊ̌ŋ / bòŋkʊ̌ŋ","ŋ̀kʊ̌ːŋ / bòŋkʊ̌ŋ","ŋkʊ́ŋ / ŋ̀kʊ́ŋsə́","ŋ̀kʊ́ŋ / bə̀ŋkʊ́ŋ","ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ","ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ"
"33","deity, god, God","kə̀jì / ìjìbì","kə̀jì / bìjì","kə̀zə̀ / bə̀zə̀","kə̀zə̀ / bə̀zə̀","kə̀jì / bìjì","kə̀jì / bìjì","kə̀yìː / bə̀yìː","fə̀yìː / bə̀yìː","fə̀ʒʲə̀ / mə̀nʒʲə̀","fə̀ʒʲə̀ː / fə̀ʒʲə̀ː~mə̀ʒʲə̀ː","kə̀ʒìː / bə̀ʒìː","kə̀ʒì / bə̀ʒì","fə̀ʒʲə̀ / m̀ʒʲə̀","fə́ʒʲə̀ / ḿʒʲə̀","gbə̀m / gbə̂m","gbə̀m / bʊ̀gbə̀m~gbə᷇m","kìgbə̀m / bìgbə̀m","kìgbə̀m / bìgbə̌mbí","gbə̀m / ø","gbə̀m / ø","gbàm / gbàm","gbɑ̀m / gbɑ̀m","àyì / bìyì","àyì / bìyì","kə̀jì / bìjì","kə̀jìː / bìjì"
"34","devil","bántán~ʊ́tán/àbántánbʷɪ̂~bántán","bántán / bʷɪ̀bántán","nǎːtàɲ / ànǎːtàɲ","nǎːtàɲ / ànǎːtàɲ","ʊ̀tə̌n / bə́tə̀n","ʊ̀tə̌ːn / bə́tə̌ːn","ǹti᷇ːn / bə̀nti᷇ːn","ǹtsɪ᷇ːn / bə̀ntsɪ᷇ːn","ŋmə̀tʃʲə̂ / ŋmɪ̂mbə́tʃʲə̂","ŋmə̀tʃʲə̂ / ŋmɪ̀mbə́tʃʲə̂ ~ŋmə̀bə́tsɨ́ɣ / ŋmɪ̀mbə̀bə́tsɨ́ɣ","ŋ̀kə̀nə́ / bə̀ŋkə̀nə́","ø / bə̀tsə́","wùə̀tí / ɣʲə̂tʲə́","wùə̀tí / ɣʲə̂tʲí","tse᷇ː / bʊ́tse᷇ː","tsěē / bʊ̀tsěē","ʊ̀tǎn / bátǎn","ʊ̀tǎːn / bátǎnbū","kɛ̄ː / kɛ̄ːbə́","kɛ́ː / kɛ́ːbə́","kɛ̄ / kɛ̄","kɛ́ / kɛ́ː","ʊ̀tə̌ːn / bə̀tə̌ːn","ʊ̀tə̌n / bə́tə̌n","ʊ̄tə̄n / bìʊ̀tə̄n~bùtə̀n~bɛ̀tə̀n","ʊ̀tɛ̌ːn / bə́tɛ̌ːn"
"54","head","ɪ́fê~ɪ̀fɛ̀mó / ḿfê~m̀fɛ̀mó","ɪ̀fèː / mʷɪ̀ŋfèː","kʷú / kʷúlə́kə̄~kə̀kúːlə́","kʷú / kə̀kʊ́ːlə́","ɪ̀fɛ̀ / kə̀fɛ̀","ɪ́fɛ́ / áfɛ́","fá / kə̄fátə́","fā / kə̀fátə́","kú / tə̀kú","kʷú / tə̀kʷú","kə́ / tə̀kə́","kˣə́ / tə̀kˣə́","kə̀tú / tū","kə̀tᵗú / ʊ́tᵗú","fʊ̄ / fʊ́ŋ","fʊ̄ / fʊ́ŋ","ìfì / áfíwʊ̄","ìfì / àfìwú","fá / fɛ́ʔ ~ fɛʔɛ","fá / fɛʔɛ","fó / fɑ́ɦ","fó / fáː","ɪ́fāː / áfàsə́","ɪ́fɛ̂ / áfɛ̂","ɪ̀fɛ̀ / àfɛ̀ː","ɪ̀fɛ̀ / àfɛ̀"
"56","eye","ɪ́zɪ́hɪ́ / ànzɪ́hɪ́~ńzɪ́hɪ́","ɪ̀zɪ́hɪ́ / ǹzɪ́hɪ́~mʷɪ̀nzɪ́hɪ́","zə́sə́ / àzə́sə́~zə́sə́kə̄","zə́sə́ / kə̀zə́sə́~ázə́sə́","ɪ́dzɪ́hɪ́ / kə̀dʒɪ́hɪ́","ɪ̄dʒísə́~ɪ́dzɪ́hɪ́ / àdʒísə́~kə̀dʒɪ́hɪ́","yɛ́sə́ / kə̀yɛ́sə́~kə̀yɛ́sə́nə̄","yɛ́sə́ / kə̀yɛ̂sə̀nə́","wə́sə̄ / ʒísɛ̄","wə́sə̌ / ʒí","ɥí / dʒí","ɥí / dʒí","sɪ́ʲ / síə́","ɪ́sɘ́ʲ / ə̀sɘ́ʲ ~ síː","yət / yətʃìn","yə́t / ø","ízə̄sə́ / ázə́sə́","ídzə̄sə́~ɪ́zə̄sə́ / ázə́sə́","yɛ́ / yɛ́kə́ ~ yɛ́ / yɛ́","yə́ / yɛ́ːkə́","yɪ́ / yɪ̄kɪ́","yɪ́ / yɪ̄ː kō","ɪ́dzɛ́hɛ́ / ádzɛ́sə́ ~ ádzɛ́hɛ́sə́","ɪ́zɛ́hɛ́ / ázɛ́hɛ́","ɪ̀dzɪ́hɪ́ / àdʒɪ́hɪ́","ɪ́dzɪ́hɪ́ / àdʒɪ́hɪ́"
"57","nose","ɪ̀ɲə́ŋ / ńɲə́ŋmʷɪ̂","ɪ̀ɲə́ŋ / mʷɪ̀nɲə́ŋ~ǹɲə́ŋ","vǘ / vǘlə́kə̄~kə̀vǘlə́","vǘ / kə̀vǘlə́~ávǘlə́","ɪ̀ɲə́ŋ / kə̀ɲə́ŋ NGUN","ɪ̀ɲí / àɲí","wúŋ / kə̀wúŋ~kə́wúŋtə́nə̄","wʊ́ŋ / kə̀wʊ́ŋtə́","wu᷇ː / tə̀wu᷇ː","wū / tə̀wu᷇ː","wúŋ / tə̀wúŋ","wúŋ / tə̀wúŋ","ɥɪ́ / ɥɪ́ə́","ɪ́wə́ʲ / ə̀wə̀ʲ","dʒʊ́ / dʒʊ́ŋ","dʒʊ́ / dʒʊ́ŋ","ɪ̀ɲʊ́ / àɲʊ́","ɪ́ɲǘ / áɲǘwū","wʊ́ŋ / wʊ́ŋkə́ ~ wʊ́ŋ / wʊ́ŋ","wʊ́ŋ / wʊ́ŋkɛ́","wʊ́ŋ / wʊ̄ŋ kɪ́","wʊ́ŋ / wʊ́ːŋ kō","ɪ́ɲí / áɲîsə́","ɪ́ɲí / áɲîː","ɪ̀ɲə́ŋ / àɲə́ŋ","ɪ̀ɲə́ŋ / àɲə́ŋ"
"58","mouth","òfàn / àmfàn~m̀fànmʷɪ̀","ʊ̀fàn / mʷɪ̀ɱfàn","dzɨ́ / kə̀dzɨ́lə́","dzɨ́ / kə̀dzə́lə́","ʊ̀fʷə̀n / kə̀fʷə̀n","ʊ̄fʷə̄n / áfʷə̄n","kə̀zé / bə̀dzə́gkpə́~bə̀dzə́gkpə́nə̄","kə̀zéː / bə̀dzə́kpə́","dʒʲə᷇ː / bə̀dzə́kə̄","dʒʲə́ / bə̀dzə́kə̄","kə́dzôː / bə́dzôː","kə́zôː / bə́zôː","tsə́ʲ / tsə̄","tsə́ɪ́ / ə̀tsə́","ádzé / bídzé","ádzé / bídzé","ʊ̄fān / áfán","ʊ́fân / āfánwō~ɪ́fánə̀","dzák / dzákkə́ ~ dzák/ dzák","zák / zákkɛ́","dzʲɛ́ / dzʲɛ̀ː bɪ́","dzɛ́ / dzó","ʊ́fə̂n / áfə́nə̀sə́","ʊ́fə̂n / áfə̀nə̀~ áfə̂n","ʊ̀fʷɛ̀n / àfʷɛ̀n","ʊ̀fʷə̀n / àfʷə̀n"
"59","ear","kə̀tɔ́ŋó / ɪ̀tɔ́ŋóbî","kə̀tɔ́ŋɔ́ / bìtɔ́ŋɔ́","kə̀tʊ́ŋ / bə̀tʊ́ŋ","kə́tʊ́ŋ / bə́tʊ́ŋ","kə̀tɔ́ŋə́~kə̀tɔ́ŋá / bìtɔ́ŋə́~bìtɔ́ŋá","kə̀tɔ́ŋ / bìtɔ́ŋ","kə̀túŋə́ / bə́túŋə́","kə̀tʊ́ŋə́ / bə́tʊ́ŋmgbə́","túə́~túə́ŋ / bə̀túə́~bə̀túə́ŋ","tʷə́ŋ / bə̀tʷə́ŋ","kə̀túŋ / bə̀túŋ","kə̀túŋ / bə̀tṹ ~ bə̀túŋ","kə̀tʊ᷇ːŋə́ / ʊ́tʊ᷇ːŋə́","kə̀tʊ̂ŋə́ / ʊ̀tʊ̂ŋə́","átʊ́ / bítʊ́","átʰʊ̂ / bítʊ́","kìntʃʊ́ŋ / bìntʃʊ́ŋ","kìntʃʊ́ŋ / bìntʃʊ́ŋbī","tʃɔ́m / tʃɔ́mbə́~tʃɔ́m / tʃɔ́m","tʃɔ́ːn / tʃɔ́mbɛ́","tʃʊ́ŋ / tʃʊ́ŋ~tʃɔ́m","tʃʊ́ŋ / tʃɔ́m","àtɔ́ŋ / bìtɔ́ŋ","átɔ́ŋ / bítɔ́ŋ","kə̀tɔ́ŋə́~àtɔ́ŋə́ / bìtɔ́ŋə́~ɪ̀tɔ́ŋə́","kə̀tɔ́ŋə́ / bìtɔ́ŋə́"
"60","jaw","kə̀ⁿbàŋó / m̀bàŋə́bî~ɪ̀mbàŋə́","kə̀ⁿbàŋó~ⁿbàŋó / bìⁿbàŋó~ⁿbàŋó","kə̀ⁿbàŋ / bə̀ⁿbàŋ","kə̀ⁿbàŋ / bə̀ⁿbàŋ","kə̀jó / bìjó","kə̀jɔ́hɔ̄ / bìjɔ́hɔ̄","kə̀mbàŋ / bə̀mbàŋ","kə̀mbàŋ / bə̀mbàŋ","kə̀ⁿbàŋ / bə̀ⁿbàŋ","kə̀ⁿbàŋ / bə̀ⁿbàŋ","kə̀mbàŋ / bə̀mbàŋ","kə̀mbàŋ / bə̀mbàŋ","bɔ́ŋɪ̀ / bɔ̂ŋsə̀ ~ bɔ̂ŋ","kə̀bɔ̂ŋ / ʊ̀bɔ̂ŋ","kɔ́ / kɔ́t ~kɔ́ŋ","kɔ́ / kɔ́ ~kɔ́ŋ","kìyáhā / bìyáhā","kìyáhá / bìyáhá","mgbàŋ / mgbàŋbə̌ ~ mgbàŋ/mgbàŋ","mgbàŋ / mgbàŋbɛ́","mgbàŋ / mgbàŋ bɪ́","mgbǎŋ / mgbǎːŋ","àyòhó / bíyòːsə́","àyòhò / bìyòhò","ɪ̀jó / àjó","àjúó / ɪ́júó~ájúó"
"61","tooth","ɪ́zán / ānzán","ɪ̀zán / ǹzán~mʷɪ̀nzán","zán / ázáɲ","záɲ / kə̀záːnə́~àzáːnə́~àzáɲ","ɪ̀zə́n / kə̀zə́n","ɪ̀zə́n~ìdzə́n / āzə́n~àdzə́n","yɛ́n / kə̀yɛ́ntə́nə̄","yɛ́n / kə̀yɛ́ntə́","wə᷇n / jɛ́n","wə᷇ːn / jə́n","wɪ́ɲ / dʒéɲ","ɥɪ́ɲ / dʒɪ́ɲ","ìsɔ᷇ːŋ / sɔ̃́ə̃́ ~ sɔ́ŋə́","ɪ̀sɔ᷇ːŋ / ə̄sɔ᷇ːŋ","ágílə̄ / gə́klɪ́","ágídə̄ / bígídə́","ɪ̀zán / àzán","ɪ́zán / ázánnō~ázán","yɛ́n / yɛ́nkə́ ~ yɛ́n / yɛ́n","yɛ́n / yɛ́nkɛ́","yɛ́n / yɛ̄n kɪ́","yɛ́n / yɛ́n kó","ɪ́zə́n / ádzə́nə̀sə́","ɪ́zə́n / ázə́n","ɪ̀zɛ́n / āzɛ́n","ɪ́zɛ́n / ázɛ́n"
"62","tongue","ɪ̀lám / ánlámmʷɪ̂","ɪ̀lám / kìlám~ǹlám","lámə́ / kə̀lámə́","lámə́ / kə̀láːmə́","ɪ̀lám / kə̀lám","ɪ̀lám / ālám","lɪ́m / kə̀lɪ́mtə́","lɪ́m / kə̀lɪ́mtə́","lɪ᷇ːm / tə̀lɪ᷇ːm","lɪ᷇ːm / tə̀lɪ́ːm~tə̀líːmkpə̄","lə́m / tə̀lə́m","lə́m / tə̀lə́m","kə̀nám / ʊ́nʷám","kə̀nə́m / ʊ̀nə́m","lɪ́ / lə́ŋ","lɪ́ / lə́ŋ","ɪ̀lám / àlám","ɪ̀lám / álámnō","lyém / lyémkə́ ~ lyɛ́m / lyɛ́m","lyə́n / lyə́nkə́","lʲə́m / lʲə̄m kɪ́","lʲə́m / lʲə̀ːm ká","ɪ́lám / álámə̀sə́","lám / àlàm","ɪ̀lám / kə̀lám","ɪ̀lám / àlám"
"64","belly","àmbɪ́n~ɪ̀bɪ́n/àmbɪ́nmʷɪ̂~àmbɪ́n","m̀bɪ́ ~ ɪ́bɪ́ / mʷɪ̀mbɪ́~m̀bɪ́ː","kʷə́ / àkʷə́","kʷə́~àkʷə́ / ákʷə́~kə̀kʷə́lə́","kə̀jʲá / bìjʲá NGUN ~ kə̀jʲɛ́ / bìjʲɛ́ BIYA","kə̀jʲá / bìjʲá","kʷú / kə́kʷútə́","kʷú / kə̀kʷúːtə́","kʊ̂m / kʊ̂m","kʊ̂m / tə̀ŋkʊ̂m","kʷə́ / bə́kʷə́","kʷə́ / tə̀kʷə́","ʊ̀nɛ̂ː / m̀nɛ̂ː","ʊ̀nɛ̂ː / sə̀nɛ̂ ~ ḿnɛ̂","ʊ́lâp / múnâm","ʊ́lâp / múna᷇ːm","ìbêː / àbêː","ábêː ~ ábêwú","kú / kóyə́","kʷú / kʷúkɛ́n","kʷú / kʷú","kʷú / kʷű","ábɪ́ / ábɪ́lə́","ábé / ábé","àbé / bìbə́~àbé","àbɪ́ / ábɪ́"
"68","hair","ófʷɪ́ / ɪ́fʷɪ̂ː","ʊ̄fʷɪ́ / kīfʷɪ́~īfʷɪ́","vúlə́ / kə̀vúlə́","fɔ̂lə̀~fʷò / kə́fɔ̂lə̀~fʷólə́","ʊ̀fʷé~ʊ̀fʷɪ́/ kə̀fʷé","ʊ̀fʷɪ́/ àfʷɪ́","kə́fʊ̂ː / bə́fʊ̂ː","kə̀fʊ̀ː / bə̀fʊ̀ː","fʊ̂ː / tə́fʊ̂ː","fù / bə̀fù","kə́fû / bə́fû","kə́fû / bə́fû","ɪ̀ɲʊ̂ŋ / sə̀ɲʊ̂ŋ","ɪ̀ɲʊ̂ŋ / sə̀ɲʊ̂ŋ","dzʊ̌ / dzʊ́ŋ","dzʊ̌ / dzʊ́ŋ","ʊ́fʊ̂ / áfʊ̂","ʊ́fû / ʊ́fúwū","fôʔ / fôʔbə́","fʊ̂ʔ / fʊ̂ʔkɛ́n","fɒ̀ɦ / fɒ̀ɦ kɪ́","fɒ̀ɦ / fɒ̂ɦ","ʊ̀fí / áfísə́","ʊ̀fí / ɪ́fí","ʊ̀fí / ɪ̀fí~bə̀ʊ̀fí~ìfí","ʊ̀fí / ɪ̀fí"
"71","breast","m̀bə́n / àmbə́nmʷɪ̂","ɪ̄bə́n / mʷɪ̀nbə́n","bɪ̂ɲ / ábɪ̂ɲ","bâːnə̀ / kə́bâːnə̀","ɪ̀bʲɛ́n / kə̀bʲɛ́n","ɪ̄bʲɛ́n / àbʲɛ́n","bɛ̂n / kə́bɛ̂ntə́","bèːn / bʲɛ᷇ːn","bínə̄ / tə̀bínə̄","bínə̄ / bʲə́n","ḿⁿbɛ̂ɲ / ø ~ ḿⁿbɛ̂ːɲ","mbɛ̂ɲ / tə́mbɛ̂ɲ","ìɣɛ̌ʲ / ɣéʲ","ɪ̀ɣáɪ́ / ə̀ɣáɪ́","mbêːn / mbêːn","mbêːn / ø","ɪ́bə᷇ːn / ábə᷇ːn","ábə̂n~ɪ́bə́n / ábə̂nwʊ̄~ábə́n","byâːn / byâːnkə̌","byân / byânkɛ̌","bíàn / bìàn kɪ́","bʲàn / bʲân","ɪ́bʲə́n / ábʲə́nə̀sə́","ɪ́bʲɛ́n / ábʲɛ́n","ɪ̀bʲɛ́n / àbʲɛ́n","ɪ́bʲɛ́n / ābʲɛ́n"
